artifact_id,category,payload_group,group_ordinal,matched_control_id,carrier_sha256,row1_mean_surprisal,row2_mean_surprisal,score_change,units,plot_horizontal_offset,row1_fixed_minus_matched_control,row2_fixed_minus_matched_control
control-HT1-row1,ordinary,HT1-row1,1,control-HT1-row1,7b18976c260516a009fbdce5cdc7b3e83431ec9715c62066d6d16d3b754daa9e,3.932686589505168,4.475678882148706,0.5429922926435382,bits per delivered RGB channel value,-0.3,,
control-HT2-row1,ordinary,HT2-row1,2,control-HT2-row1,eabcfc07f75d264eeb993168a238e6ba8cd7968a745fec98d5db7892004df81d,3.5292284837117527,4.126440901619423,0.5972124179076705,bits per delivered RGB channel value,-0.2726315789473684,,
control-HT3-row1,ordinary,HT3-row1,3,control-HT3-row1,a97d708ec9480efa7d439b315a20639e79772ebe2a34fb05e10b97dd888b00a5,3.889779065921605,4.473526570565799,0.5837475046441938,bits per delivered RGB channel value,-0.24526315789473682,,
control-HT4-row1,ordinary,HT4-row1,4,control-HT4-row1,0e3ce8710c1ba557c5b4742bc15d304f1ec291a8113785583c6d0ba152108d68,3.6970772412541892,4.007294805591346,0.3102175643371572,bits per delivered RGB channel value,-0.21789473684210525,,
control-HT5-row1,ordinary,HT5-row1,5,control-HT5-row1,905e554a96871ce27e722783b02148a1ef65b10ec02450f3de6b3a3612b342c0,4.160398412761646,4.787986504498582,0.6275880917369356,bits per delivered RGB channel value,-0.19052631578947365,,
control-HT6-row1,ordinary,HT6-row1,6,control-HT6-row1,39461c139b5a71285b25360ab722ce7d10bed390dfe76dbef52fe14b3b596450,3.558352731010522,4.1563172770851375,0.5979645460746155,bits per delivered RGB channel value,-0.16315789473684209,,
control-HT7-row1,ordinary,HT7-row1,7,control-HT7-row1,b80d758721e1be64c3f1f01734a5dbd96b1770caab2de24d2c42e7a11a860c4e,3.499748734207797,4.091121780606644,0.5913730463988474,bits per delivered RGB channel value,-0.13578947368421052,,
control-HT8-row1,ordinary,HT8-row1,8,control-HT8-row1,3fd7308621e03d117922171d8ddd75ecefa023da594e5af97fb38e1651566e18,3.7720438627252686,4.508671730209526,0.7366278674842577,bits per delivered RGB channel value,-0.10842105263157892,,
control-HT9-row1,ordinary,HT9-row1,9,control-HT9-row1,511eb2c514b65f9a79c402258c7eeb04688394fb0a000ef02494f2afee7832c4,3.831858260933201,4.4561133968333975,0.6242551359001967,bits per delivered RGB channel value,-0.08105263157894735,,
control-HT10-row1,ordinary,HT10-row1,10,control-HT10-row1,a764d0e21e254c4dad21851a0c2c9d5503334602d45b705840ac7531b288457d,3.425194798337257,4.087364578775259,0.6621697804380018,bits per delivered RGB channel value,-0.05368421052631578,,
control-HT11-row1,ordinary,HT11-row1,11,control-HT11-row1,95b700ce31c15fd4b5f599fec212d7498398c9fcf7d78bc47ff33a363a769771,3.0880675771108472,3.6050628293792957,0.5169952522684484,bits per delivered RGB channel value,-0.02631578947368418,,
control-HT12-row1,ordinary,HT12-row1,12,control-HT12-row1,d10b5445ebb06163ef74ae9d8c128390761e3e36e5979937c36f04ee1d5c320f,3.305990658394695,3.955599256287478,0.649608597892783,bits per delivered RGB channel value,0.001052631578947416,,
control-HT13-row1,ordinary,HT13-row1,13,control-HT13-row1,b8655facc7527f7a40e733ade5d9e2c116b30995d801adb5b41bd5ab71f864c3,3.6663903585717814,4.323499951476484,0.6571095929047028,bits per delivered RGB channel value,0.028421052631578958,,
control-HT14-row1,ordinary,HT14-row1,14,control-HT14-row1,24aeb33bed209161655432dc6e8c96236d6baa7127782760d9c4040eb9ec02b3,4.082989522578105,4.819735257394614,0.736745734816509,bits per delivered RGB channel value,0.055789473684210555,,
control-HT15-row1,ordinary,HT15-row1,15,control-HT15-row1,0ad69ba2e45e746f7e1743442294b6a69688e5240430795345dcad3436ba6284,3.668840878991993,4.2634343486000565,0.5945934696080637,bits per delivered RGB channel value,0.08315789473684215,,
control-HT16-row1,ordinary,HT16-row1,16,control-HT16-row1,ed336087dac4c5af62908bcb8cd78b0c0a0e9c31dd5f5098383b30a19bae365e,3.3597566426101118,3.978325283926672,0.6185686413165601,bits per delivered RGB channel value,0.1105263157894737,,
control-HT17-row1,ordinary,HT17-row1,17,control-HT17-row1,f88e30702fc97cbe5e23a239d320d829e152991a3c92bf50424320d6bc1648df,3.612111140765698,4.297988504459996,0.6858773636942979,bits per delivered RGB channel value,0.1378947368421053,,
control-HT18-row1,ordinary,HT18-row1,18,control-HT18-row1,000da95f071ad4ac53b215db513d2f9a81c3c0955cf951c110f9fe03d531774c,3.9710114425976664,4.617601317464073,0.646589874866407,bits per delivered RGB channel value,0.1652631578947369,,
control-HT19-row1,ordinary,HT19-row1,19,control-HT19-row1,17ab3bac9e39e187e1807382063953e63a1db72e743e877895452906e47121c5,4.384058128048802,5.050669439798466,0.6666113117496639,bits per delivered RGB channel value,0.19263157894736843,,
control-HT20-row1,ordinary,HT20-row1,20,control-HT20-row1,0818922f8c88577c61824eca51e788eaffb8e02472d66602da5e1f715d3ad174,3.2373981223776065,3.799263568412849,0.5618654460352426,bits per delivered RGB channel value,0.22,,
HT1-row1-fixed,fixed,HT1-row1,1,control-HT1-row1,dd4e231d35c9cd0576710d05222c42901204cd40439bcda0b209769800bad55d,4.097855941150253,4.305122770534693,0.20726682938443997,bits per delivered RGB channel value,-0.3,0.16516935164508473,-0.17055611161401352
HT2-row1-fixed,fixed,HT2-row1,2,control-HT2-row1,279799a79e34fe97a28a95a3856ad0b98bd75dfb88db33ef0d23dba80d818289,4.135280443193882,4.439909126583545,0.3046286833896623,bits per delivered RGB channel value,-0.2726315789473684,0.6060519594821296,0.3134682249641214
HT3-row1-fixed,fixed,HT3-row1,3,control-HT3-row1,e57512b97f83b8e83e6162d82e5d5c0f33a0687ad6cdd1ec64f9f7d00e13a038,3.7925659868281274,4.375019802344122,0.5824538155159944,bits per delivered RGB channel value,-0.24526315789473682,-0.09721307909347754,-0.09850676822167692
