direction,method_a,method_b,metric,n,mean,grouped_95_interval,boundary_aware_conservative_95_bound
image-to-text,gated,fixed,exact_complete,20,0.0,"[0.0, 0.0]","[-0.19675967970462538, 0.19675967970462538]"
image-to-text,gated,fixed,exact_goodput_bits_per_symbol,20,-0.20003505149202025,"[-0.219236944532763, -0.18052588193788108]",
image-to-text,gated,fixed,charged_pair_seconds,20,23.963806460904742,"[20.337052420652725, 27.583976087774115]",
image-to-text,gated,fixed,whole_surprisal_bits,20,-0.39117698201944984,"[-0.47644247713827004, -0.30785632910746086]",
image-to-text,gated,fixed,whole_log_rank,20,-0.18919967773602184,"[-0.20318597951896972, -0.17429371798314316]",
image-to-text,arithmetic,fixed,exact_complete,20,-1.0,"[-1.0, -1.0]","[-1, -0.6064806405907492]"
image-to-text,arithmetic,fixed,exact_goodput_bits_per_symbol,20,-3.324675324675325,"[-3.324675324675325, -3.324675324675325]",
image-to-text,arithmetic,fixed,charged_pair_seconds,20,703.2398618148516,"[654.5928821386156, 751.8266971428535]",
image-to-text,arithmetic,fixed,whole_surprisal_bits,20,-4.854512002837792,"[-4.9596072923773065, -4.749813548734342]",
image-to-text,arithmetic,fixed,whole_log_rank,20,-2.458198337128052,"[-2.489382952811257, -2.428117711419294]",
image-to-text,arithmetic,gated,exact_complete,20,-1.0,"[-1.0, -1.0]","[-1, -0.6064806405907492]"
image-to-text,arithmetic,gated,exact_goodput_bits_per_symbol,20,-3.1246402731833047,"[-3.1441494427374446, -3.1054383801425622]",
image-to-text,arithmetic,gated,charged_pair_seconds,20,679.2760553539468,"[630.3989901092983, 728.905564165531]",
image-to-text,arithmetic,gated,whole_surprisal_bits,20,-4.463335020818342,"[-4.523862706870221, -4.402782163440891]",
image-to-text,arithmetic,gated,whole_log_rank,20,-2.2689986593920297,"[-2.300291158707862, -2.2370789447218935]",
text-to-image,gated,fixed,exact_complete,20,0.0,"[0.0, 0.0]","[-0.19675967970462538, 0.19675967970462538]"
text-to-image,gated,fixed,exact_goodput_bits_per_symbol,20,0.0,"[0.0, 0.0]",
text-to-image,gated,fixed,charged_pair_seconds,20,0.352133488162508,"[-0.20571367451249897, 0.9755481879197211]",
text-to-image,gated,fixed,whole_surprisal_bits,20,-0.11694526183430294,"[-0.2673574028418747, 0.03533541489315573]",
text-to-image,gated,fixed,whole_log_rank,20,-0.08428156343618891,"[-0.2046107077322866, 0.039694731431015866]",
text-to-image,arithmetic,fixed,exact_complete,20,0.0,"[0.0, 0.0]","[-0.19675967970462538, 0.19675967970462538]"
text-to-image,arithmetic,fixed,exact_goodput_bits_per_symbol,20,0.0,"[0.0, 0.0]",
text-to-image,arithmetic,fixed,charged_pair_seconds,20,0.8267666364044999,"[0.37657341725305743, 1.2503942724944317]",
text-to-image,arithmetic,fixed,whole_surprisal_bits,20,-0.4216238819223343,"[-0.5470176913569206, -0.300751940420968]",
text-to-image,arithmetic,fixed,whole_log_rank,20,-0.24989023547575648,"[-0.34404515147411596, -0.16021840684734615]",
text-to-image,arithmetic,gated,exact_complete,20,0.0,"[0.0, 0.0]","[-0.19675967970462538, 0.19675967970462538]"
text-to-image,arithmetic,gated,exact_goodput_bits_per_symbol,20,0.0,"[0.0, 0.0]",
text-to-image,arithmetic,gated,charged_pair_seconds,20,0.4746331482419919,"[0.025968081960036218, 0.9359905036456425]",
text-to-image,arithmetic,gated,whole_surprisal_bits,20,-0.3046786200880313,"[-0.5011471489127223, -0.10361350830347435]",
text-to-image,arithmetic,gated,whole_log_rank,20,-0.16560867203956753,"[-0.31240082035135414, -0.015016664129250165]",
