direction,method,attempted,exact,recovery_rate,recovery_ci_low,recovery_ci_high,goodput_mean,goodput_ci_low,goodput_ci_high,goodput_unit,encode_phase_seconds,decode_phase_seconds,charged_pair_seconds,charged_encode_seconds,charged_decode_seconds,failure_category
image-to-text,fixed,20,20,1.0,0.8315665290169147,1.0,3.324675324675325,3.324675324675325,3.324675324675325,bits/token,45.63235096315111,45.3114402350504,123.32611503199878,61.88279091164732,61.44332412035146,none
image-to-text,gated,20,20,1.0,0.8315665290169147,1.0,3.1246402731833047,3.1054383801425622,3.1441494427374446,bits/token,57.30982390705103,57.296300879448246,147.28992149290352,73.79521236145156,73.49470913145197,none
image-to-text,arithmetic,20,0,0.0,0.0,0.1684334709830853,0.0,0.0,0.0,bits/token,398.14781652915116,396.01335586554853,826.5659768468504,414.3219252398485,412.2440516070019,"capacity: 2,048-token cap before packet completion"
text-to-image,fixed,20,20,1.0,0.8315665290169147,1.0,0.2505376344086021,0.24731182795698925,0.2534946236559139,bits/channel value,85.27408473904943,85.30815182809674,178.18082459854267,89.07953363709603,89.10129096144665,none
text-to-image,gated,20,20,1.0,0.8315665290169147,1.0,0.2505376344086021,0.24731182795698925,0.2534946236559139,bits/channel value,85.29199290895266,85.65491900485358,178.53295808670518,89.07482364590105,89.45813444080413,none
text-to-image,arithmetic,20,20,1.0,0.8315665290169147,1.0,0.2505376344086021,0.24731182795698925,0.2534946236559139,bits/channel value,85.5904774381459,85.77317311459774,179.00759123494717,89.39857291129593,89.60901832365126,none
