case,group,work_id,direction,method,score,stego,ordinary,exact_recovery,failed_transmission,trace_id,matched_sha256,matched_artifact
HI1-prompt1-fixed,HI1-prompt1,ae6e65170306d591b899cedb399d17f13ef5fb94be1d45601a64eae5147049f9,image-to-text,fixed,surprisal_bits_mean,5.480008864757653,2.3399917695142936,True,False,control-HI1-prompt1,6510107f072fc61903e49c30ee7014223213f7be3049d615ef8ae1aabb1182a8,controls/control-HI1-prompt1/prefix-616.txt
HI1-prompt1-fixed,HI1-prompt1,ae6e65170306d591b899cedb399d17f13ef5fb94be1d45601a64eae5147049f9,image-to-text,fixed,log_rank_mean,2.7287168343761135,1.213477482382091,True,False,control-HI1-prompt1,6510107f072fc61903e49c30ee7014223213f7be3049d615ef8ae1aabb1182a8,controls/control-HI1-prompt1/prefix-616.txt
HI1-prompt1-gated,HI1-prompt1,4fa82e155efd87cd9cff3d4c7223b8ef037b61b718b8b20f320d582100071627,image-to-text,gated,surprisal_bits_mean,5.154161386904963,2.528392776781271,True,False,control-HI1-prompt1,68e6720d2c19280adf45b2e395378a860d71f5179cabe9b3e756092a2c2d101c,controls/control-HI1-prompt1/prefix-650.txt
HI1-prompt1-gated,HI1-prompt1,4fa82e155efd87cd9cff3d4c7223b8ef037b61b718b8b20f320d582100071627,image-to-text,gated,log_rank_mean,2.5275847518975945,1.3238933459867688,True,False,control-HI1-prompt1,68e6720d2c19280adf45b2e395378a860d71f5179cabe9b3e756092a2c2d101c,controls/control-HI1-prompt1/prefix-650.txt
HI1-prompt1-arithmetic,HI1-prompt1,ed0855a1da630215f6ee468615c878a6bf1017248c781daf56853936039d11a2,image-to-text,arithmetic,surprisal_bits_mean,0.8029064583914707,2.313280180133632,False,True,control-HI1-prompt1,205cdb01fb2e184f052812f5c4f702822b5bc7f7c38031ce9e709abae621f81d,controls/control-HI1-prompt1/prefix-2048.txt
HI1-prompt1-arithmetic,HI1-prompt1,ed0855a1da630215f6ee468615c878a6bf1017248c781daf56853936039d11a2,image-to-text,arithmetic,log_rank_mean,0.287862194968164,1.1515162272751247,False,True,control-HI1-prompt1,205cdb01fb2e184f052812f5c4f702822b5bc7f7c38031ce9e709abae621f81d,controls/control-HI1-prompt1/prefix-2048.txt
HT1-row1-fixed,HT1-row1,faf83244196e24e27440c6beb644589b2fe3cad35bb1199c6a603110a93f49f2,text-to-image,fixed,surprisal_bits_mean,4.097855941150253,3.932686589505168,True,False,control-HT1-row1,7b18976c260516a009fbdce5cdc7b3e83431ec9715c62066d6d16d3b754daa9e,controls/control-HT1-row1/carrier.png
HT1-row1-fixed,HT1-row1,faf83244196e24e27440c6beb644589b2fe3cad35bb1199c6a603110a93f49f2,text-to-image,fixed,log_rank_mean,2.372807010068061,2.3481461705557916,True,False,control-HT1-row1,7b18976c260516a009fbdce5cdc7b3e83431ec9715c62066d6d16d3b754daa9e,controls/control-HT1-row1/carrier.png
HT1-row1-gated,HT1-row1,98b8c543be4e84739e6292c2fa909a6e836e069c61a4b35ada53edc3db3fb40c,text-to-image,gated,surprisal_bits_mean,4.154971874498308,3.932686589505168,True,False,control-HT1-row1,7b18976c260516a009fbdce5cdc7b3e83431ec9715c62066d6d16d3b754daa9e,controls/control-HT1-row1/carrier.png
HT1-row1-gated,HT1-row1,98b8c543be4e84739e6292c2fa909a6e836e069c61a4b35ada53edc3db3fb40c,text-to-image,gated,log_rank_mean,2.424230129501392,2.3481461705557916,True,False,control-HT1-row1,7b18976c260516a009fbdce5cdc7b3e83431ec9715c62066d6d16d3b754daa9e,controls/control-HT1-row1/carrier.png
