case,pair_id,work_id,direction,method,source_bytes,delivered_symbols,exact_complete,recovered_goodput,encode_seconds,decode_seconds,charged_pair_seconds,packet_bits_recovered,packet_positions,skipped_positions,zero_bit_positions,completion_symbols,failure_stage
HT2-row1-gated,HT2-row1,dc692472a1300d78dd1e20bff0b3d78b29e3eeee9f7986c749c447724570c860,text-to-image,gated,59,2976,True,0.1586021505376344,85.0107972859987,84.74846228500246,177.13526057900162,2336,584,100,0,2292,
HT2-row1-arithmetic,HT2-row1,14b43f3981279983c587fe2cb93b71902a6a845e2cddcbc719a75a04fb2d805d,text-to-image,arithmetic,59,2976,True,0.1586021505376344,84.48705350900127,85.09480867598904,177.03325601000688,2336,502,0,86,2388,
HI3-prompt1-fixed,HI3-prompt1,9dd9bf86208a160f5982c721d67159c266f45caeb9f4e55a0691d19e51e7766f,image-to-text,fixed,256,616,True,3.324675324675325,45.26093666200177,44.714721750991885,121.78808585098886,2336,584,0,0,32,
HI3-prompt1-gated,HI3-prompt1,e9b60b6e898c1e8784104db5123257d2f70094baa74965447e49e601abc88e6d,image-to-text,gated,256,649,True,3.1556240369799693,51.52666129299905,51.624505820000195,134.96475863199157,2336,584,33,0,32,
HI3-prompt1-arithmetic,HI3-prompt1,68a7f4dc09fe5aa9f45615b24b95de7097cdf2ceed3c550abe3472445fcb0536,image-to-text,arithmetic,256,2048,False,0.0,650.9031385569979,645.0259434179898,1327.6252409050066,1319,347,0,1701,0,capacity
HT3-row1-fixed,HT3-row1,5b1c8fd03dacbd9d9bbe73e99b409ea1c607c7c042b6c449c5cd0d6c1395aa5b,text-to-image,fixed,63,2976,True,0.1693548387096774,84.32430093799485,83.97747118699772,175.79222960899642,2336,584,0,0,2392,
HT3-row1-gated,HT3-row1,17207dd9e39dc4e41af53bcf8daa23bb62a6a5adc8b55cc8378b390186a1111d,text-to-image,gated,63,2976,True,0.1693548387096774,83.98502372500661,88.67241496499628,180.3087791279977,2336,584,191,0,2201,
HT3-row1-arithmetic,HT3-row1,8bfbf276812057c0ff6fcab23c3e82a2a6b8d42d9720e279d9d659a870b6d9f8,text-to-image,arithmetic,63,2976,True,0.1693548387096774,85.57286082999781,85.05425422999542,178.2454774960206,2336,549,0,110,2317,
HI4-prompt1-fixed,HI4-prompt1,2b1e828c726d7549d9334b62ac18c6492d985b791f02c3f61d01d3caf3c5b05b,image-to-text,fixed,256,616,True,3.324675324675325,43.82504269799392,43.63004589799675,119.88450287500746,2336,584,0,0,32,
HI4-prompt1-gated,HI4-prompt1,f20a59fa97ccb40f6783adb7df4385951a802e015cadc19a8bb3884753650e44,image-to-text,gated,256,691,True,2.963820549927641,60.71239121200051,60.595861152993166,154.26598882299731,2336,584,75,0,32,
HI4-prompt1-arithmetic,HI4-prompt1,68818e218074bffa3bf00df4fbf6a70f9b671837c3cb3d12615d4cf0fd59d158,image-to-text,arithmetic,256,2048,False,0.0,407.6746574770077,406.4735792979918,846.8260339270055,906,237,0,1811,0,capacity
HT4-row1-fixed,HT4-row1,7ca382635c91a0f9224cf1dd847ce26fd6aace78767bce090fb3c34995a81d3a,text-to-image,fixed,62,2976,True,0.16666666666666666,85.47900874400511,84.3003407070064,177.35996586299734,2336,584,0,0,2392,
HT4-row1-gated,HT4-row1,be402eca787fa34d31cf00d20b0197fd4f97ba93402dca5a6a314a0b2fb99590,text-to-image,gated,62,2976,True,0.16666666666666666,85.96156649400655,85.94434847400407,179.45099324098555,2336,584,29,0,2363,
HT4-row1-arithmetic,HT4-row1,04d00a94410f55225b3213b610d6238cee23f0fddd01812b0733e70ec4eb5f02,text-to-image,arithmetic,62,2976,True,0.16666666666666666,85.67734019999625,85.53158124799666,178.95348725399526,2336,515,0,87,2374,
HI5-prompt1-fixed,HI5-prompt1,780e0e858730045131eec6abfe2dc35a5c6c674d87b81af7672d63f679e37f4e,image-to-text,fixed,256,616,True,3.324675324675325,48.19015743800264,48.16490377600712,128.70157843499328,2336,584,0,0,32,
HI5-prompt1-gated,HI5-prompt1,011d72dc1129b76f7abbc457b0167a634a0065ab2f9ee61b7c218c00c8e94392,image-to-text,gated,256,666,True,3.075075075075075,63.69763584800239,63.7692297600006,160.32238012399466,2336,584,50,0,32,
HI5-prompt1-arithmetic,HI5-prompt1,59e921f2d567d6d0d7610b0590d88389b8340d360a5a8fa053a9bf5f6472a6cb,image-to-text,arithmetic,256,2048,False,0.0,335.06529797200346,333.9772077880043,701.6759744650044,2164,604,0,1444,0,capacity
HT5-row1-fixed,HT5-row1,90eb544705226d349bafa4affd3f78100afe42215d9878bb4cbf8d600952537f,text-to-image,fixed,63,2976,True,0.1693548387096774,84.63438604900148,84.51131360200816,176.6912939469912,2336,584,0,0,2392,
HT5-row1-gated,HT5-row1,71a0478b799aeb202be7b7c2c6e2e7d0b17c2d5bddcf5e2c683385603ab3c680,text-to-image,gated,63,2976,True,0.1693548387096774,85.69526083499659,84.25929084299423,177.6965053830063,2336,584,199,0,2193,
HT5-row1-arithmetic,HT5-row1,56ec2f671d1217a915af7fb0f8ce02a8c5d81816bc7ba0f81e7bf0e80725c098,text-to-image,arithmetic,63,2976,True,0.1693548387096774,85.85640807698655,84.39587789699726,177.9416562700062,2336,462,0,40,2474,
HI6-prompt1-fixed,HI6-prompt1,5f2d624e0b3ab1c87f885d819862930dae33cbe4479018c1141b47d5ddb2ff6f,image-to-text,fixed,256,616,True,3.324675324675325,41.13352627999848,40.63150819799921,114.13455614200211,2336,584,0,0,32,
HI6-prompt1-gated,HI6-prompt1,6654954696e537963c940b1cb8a1b5de88f814835978c248583e46f8b0a2b4ae,image-to-text,gated,256,650,True,3.1507692307692308,55.12658320199989,54.894292162003694,142.13515252701472,2336,584,34,0,32,
HI6-prompt1-arithmetic,HI6-prompt1,4c45ce931ba1b0e8cbd1fdbbf4c08ac36a945c44d8e08c8462a0cf41b615a6d1,image-to-text,arithmetic,256,2048,False,0.0,344.88373864900495,344.826920321997,722.9656215260038,1939,553,0,1495,0,capacity
HT6-row1-fixed,HT6-row1,826a5c3ee5a8ce776a58e3f0861e6cd3174d3892b20bb176d9e34d52fb2bfa05,text-to-image,fixed,58,2976,True,0.15591397849462366,84.08281084700138,84.83428925799672,176.64647794800112,2336,584,0,0,2392,
HT6-row1-gated,HT6-row1,12baec80cdab0db31c6f15dd64707c67065d155819053816863a5eecabc0e45a,text-to-image,gated,58,2976,True,0.15591397849462366,84.83808674100146,84.8628966499964,177.29460309800925,2336,584,121,0,2271,
HT6-row1-arithmetic,HT6-row1,7c041c5e587289510f72802e2bac035be890e06229aae5aa3442b365d36a2fe1,text-to-image,arithmetic,58,2976,True,0.15591397849462366,85.00003652500163,85.94741418099147,178.54883092998352,2336,507,0,130,2339,
HI7-prompt1-fixed,HI7-prompt1,ac0f3c38429cdf470f4ec55b5b8bfdc98b84e271a2bc76ce86667252c029c89c,image-to-text,fixed,256,616,True,3.324675324675325,49.93826924399764,49.514002031006385,131.50741241700598,2336,584,0,0,32,
HI7-prompt1-gated,HI7-prompt1,38b3895e45ba7496caaac8315b41b04d90090a719939b8d9d727d4a4b6e69419,image-to-text,gated,256,633,True,3.235387045813586,48.46229944100196,48.35475972699351,129.75802595200366,2336,584,17,0,32,
HI7-prompt1-arithmetic,HI7-prompt1,f69bd73907bbc455526f261f1d8ac20bbcd6f2990ad095dc45c819502856547b,image-to-text,arithmetic,256,2048,False,0.0,405.48051980300806,404.0276354789967,841.8864505839738,581,155,0,1893,0,capacity
HT7-row1-fixed,HT7-row1,e774ee55e29c35ff69d9b8f028199d2eb386c021c8ceb4204ca069670b4e0ef0,text-to-image,fixed,61,2976,True,0.1639784946236559,85.42507651800406,85.37707807600964,178.44341622001957,2336,584,0,0,2392,
HT7-row1-gated,HT7-row1,f5c76f5043c1929e1b34667a4f27c35b8b057046eaf7b3b9905bfcc8650b314c,text-to-image,gated,61,2976,True,0.1639784946236559,85.50882747900323,85.26316471301834,178.34271774999797,2336,584,197,0,2195,
HT7-row1-arithmetic,HT7-row1,6a1f1967335ba90c8ef1510093f1e5dc37d3af4dad9bcb4c99c6a7c24e466c3c,text-to-image,arithmetic,61,2976,True,0.1639784946236559,85.01571843400598,85.20362858500448,177.89256108299014,2336,496,0,64,2416,
HI8-prompt1-fixed,HI8-prompt1,5b63c42b7e709335aa122df22d46a39cd5859e0e1a77c8528f632bd3ed5ea9fe,image-to-text,fixed,256,616,True,3.324675324675325,41.028740209003445,40.57705608199467,114.21807669400005,2336,584,0,0,32,
HI8-prompt1-gated,HI8-prompt1,439b4d8ef50c19479a058a4eeded3a3627644e3caf68d2ea522313038024f35a,image-to-text,gated,256,669,True,3.0612855007473843,61.24945444401237,60.9196961359994,154.70461485598935,2336,584,53,0,32,
HI8-prompt1-arithmetic,HI8-prompt1,9437f463e9e3541602055873fac92d52d362b8f088dd11c9c49ac624f082cdad,image-to-text,arithmetic,256,2048,False,0.0,427.94023211998865,426.84736311400775,886.6629477260285,1812,490,0,1558,0,capacity
HT8-row1-fixed,HT8-row1,99bf0b1d38b64a472f450c62d54f91799e3544cff547d3d268dfa8634f6863a0,text-to-image,fixed,62,2976,True,0.16666666666666666,84.92747883699485,85.12360597398947,177.74028916400857,2336,584,0,0,2392,
HT8-row1-gated,HT8-row1,27d5b269e6031c301aed5dd1358cdf8e93e145ba2c5bc525eed25e5d5ff9375e,text-to-image,gated,62,2976,True,0.16666666666666666,85.04181252000853,86.2618480839883,178.83916831904207,2336,584,126,0,2266,
HT8-row1-arithmetic,HT8-row1,bb765fed5273d6ac2a42f0158b0ffe299c87a43d30dbdfae13fa9046076c47fa,text-to-image,arithmetic,62,2976,True,0.16666666666666666,85.9631076020014,85.86353182798484,179.4502052180178,2336,495,0,65,2416,
HI9-prompt1-fixed,HI9-prompt1,bacb434735989032a93d029ff21864db1bf75a6a40684a48fb008c6f3f75ace5,image-to-text,fixed,256,616,True,3.324675324675325,44.54823675999069,44.35175791499205,121.27509556899895,2336,584,0,0,32,
HI9-prompt1-gated,HI9-prompt1,353271242670f100b3cf58b36f3b27a6fe9987b20d638c43fbcd565857a6c9f2,image-to-text,gated,256,630,True,3.250793650793651,40.322176381974714,40.38197212902014,113.72236831000191,2336,584,14,0,32,
HI9-prompt1-arithmetic,HI9-prompt1,24a0cd927ed5ad47f86b7d214d24101722408c9a1581671cac2cea09c74e29b6,image-to-text,arithmetic,256,2048,False,0.0,370.3815430639952,370.63950540102087,773.7737348089868,1795,500,0,1548,0,capacity
HT9-row1-fixed,HT9-row1,85e765e40d3f2b7fa956eb8c9b9aa1572baa666456aa4650db216a75d93615e8,text-to-image,fixed,60,2976,True,0.16129032258064516,85.28292211299413,85.11920685498626,178.0429435929982,2336,584,0,0,2392,
HT9-row1-gated,HT9-row1,a56ba1f631565ca84ddcfb93e774e1c8cf0f990fee60fce155a71042b262c315,text-to-image,gated,60,2976,True,0.16129032258064516,85.76356045898865,85.7920165710093,179.1441655039962,2336,584,80,0,2312,
HT9-row1-arithmetic,HT9-row1,9c5988f1f10292e64d0f7f80495d74e23856f0b5668219f652c95ab28df81a1e,text-to-image,arithmetic,60,2976,True,0.16129032258064516,85.22424745498574,85.4762378220039,178.52381245899596,2336,519,0,78,2379,
HI10-prompt1-fixed,HI10-prompt1,d622b754b86f6e6233f3f79892a6001a61b33f056981b35a89ec8362fa740e83,image-to-text,fixed,256,616,True,3.324675324675325,44.15922333599883,43.67914924901561,120.03162433500984,2336,584,0,0,32,
HI10-prompt1-gated,HI10-prompt1,0863f7450797e802e548ef1941cf2550b22cb706860adce3fca3f157276f68e8,image-to-text,gated,256,673,True,3.0430906389301633,63.64366273401538,63.93876979200286,160.2714239510242,2336,584,57,0,32,
HI10-prompt1-arithmetic,HI10-prompt1,d3fe3fe22dec43df96e26b469cd390e4654e989480ce414f68ffb01a72eae3f2,image-to-text,arithmetic,256,2048,False,0.0,399.71147445600946,399.0649733809987,831.8231599019782,1508,359,0,1689,0,capacity
HT10-row1-fixed,HT10-row1,cdc6218f2d4155bd167332ccddae3d80ad557348df71dc1d03abd2d132a3ccb0,text-to-image,fixed,64,2976,True,0.17204301075268819,85.4937582029961,85.73433967799065,178.77919523898163,2336,584,0,0,2392,
HT10-row1-gated,HT10-row1,756bbd435c6012b2ebff3b65b5718c1795503c2ae96e778e670d99c98b9f270c,text-to-image,gated,64,2976,True,0.17204301075268819,85.54106865401263,85.12213609699393,178.24191522199544,2336,584,37,0,2355,
HT10-row1-arithmetic,HT10-row1,f1b049e2167c931db74913883c2c2f52e3dc0a8bcc025a79499ae985aa635c87,text-to-image,arithmetic,64,2976,True,0.17204301075268819,86.94343405601103,86.63562127700425,181.0031737399986,2336,564,0,118,2294,
HI11-prompt1-fixed,HI11-prompt1,83b9f63e3ddaf055d6d2cdeecd5ada174ef31820ec3fcdbd357d970649d4ae93,image-to-text,fixed,256,616,True,3.324675324675325,51.43091015299433,51.349385311012156,135.2175511509995,2336,584,0,0,32,
HI11-prompt1-gated,HI11-prompt1,2888ce939ad6af2d3b51be306b0180f2e03363150fd2871054378c05296bab55,image-to-text,gated,256,678,True,3.0206489675516224,71.75638596600038,72.03542627798743,176.99901041400153,2336,584,62,0,32,
HI11-prompt1-arithmetic,HI11-prompt1,1b01f20b6785ee35e657185192d9c0b3302a857850a23e4a3a7a734cf54d3c25,image-to-text,arithmetic,256,2048,False,0.0,361.0605561960256,360.10286296898266,752.9362425610016,1143,326,0,1722,0,capacity
HT11-row1-fixed,HT11-row1,788dbf13087bcbc3ce543c62ba028edfaca9de548de4db15e35e8ed8a2e26eea,text-to-image,fixed,126,2976,True,0.3387096774193548,85.47396675799973,86.06594258599216,179.18738471198594,2336,584,0,0,2392,
HT11-row1-gated,HT11-row1,fcd2e571abac209b8b9e0c99d2d254b33ed42af0f6c268cbc01a5497aacdcdda,text-to-image,gated,126,2976,True,0.3387096774193548,85.32450282698846,85.4244626990112,178.28080896098982,2336,584,71,0,2321,
HT11-row1-arithmetic,HT11-row1,74d397e949a4390b8ee6f738f1b1a44f68d2d327239cc431d9f6829af238d442,text-to-image,arithmetic,126,2976,True,0.3387096774193548,84.88854231598089,85.9033488210116,178.39688643996487,2336,470,0,92,2414,
HI12-prompt1-fixed,HI12-prompt1,d1b091f8737bb9bbf27684b8c7ac8b52cec4decac845962dc295d04d991f7f16,image-to-text,fixed,256,616,True,3.324675324675325,48.56199153000489,48.16151587499189,129.34077769698342,2336,584,0,0,32,
HI12-prompt1-gated,HI12-prompt1,bbfd4c765027a611d6f1978b68d855a69f9990e7591a69db3ff2a0021b7e68cd,image-to-text,gated,256,650,True,3.1507692307692308,51.80057808200945,52.50269912197837,136.7559058739862,2336,584,34,0,32,
HI12-prompt1-arithmetic,HI12-prompt1,1fded16838f501668bc7db66a0f8e9685b0099bbbd079bb98b4f322d8d37f373,image-to-text,arithmetic,256,2048,False,0.0,398.40453516098205,398.06743383800494,828.1261059579847,1188,352,0,1696,0,capacity
HT12-row1-fixed,HT12-row1,60d13dfedddef6b00eb579ed270449a9db810e228b8e28ab93f0b23f29a5fabc,text-to-image,fixed,126,2976,True,0.3387096774193548,85.80576908800867,84.89954846998444,178.2990850339702,2336,584,0,0,2392,
HT12-row1-gated,HT12-row1,d97f4a3e7ae5b275b5be76bb83561aa5e0bcd2941fa9fc62314bb60d108e47e1,text-to-image,gated,126,2976,True,0.3387096774193548,84.56261056699441,85.02901833102806,177.24500875698868,2336,584,63,0,2329,
HT12-row1-arithmetic,HT12-row1,e66bf315b13aeeabc5a4cee7a39b313d1f53e91070c71e80d85595b7027e68da,text-to-image,arithmetic,126,2976,True,0.3387096774193548,85.54435330498382,86.22507314899121,179.54660906500067,2336,508,0,107,2361,
HI13-prompt1-fixed,HI13-prompt1,39280cf2706208334c465a94bc25ae7ee880b6ce2d61773b8398e16bfafd4c64,image-to-text,fixed,256,616,True,3.324675324675325,44.06547733300249,43.869901742989896,120.9584281569987,2336,584,0,0,32,
HI13-prompt1-gated,HI13-prompt1,a55512f725cedb13fa1da91f04cedcb8717a931b1f4459a7bf43069cf302650b,image-to-text,gated,256,651,True,3.1459293394777266,61.11911025000154,61.12465881500975,155.20382483603316,2336,584,35,0,32,
HI13-prompt1-arithmetic,HI13-prompt1,23baa2c5b39fd814afa18061c4fcdc9c0fc86bae6c2ddce649cc48fec6b2048e,image-to-text,arithmetic,256,2048,False,0.0,343.4014558850031,342.38306348602055,719.1651822969725,1292,388,0,1660,0,capacity
HT13-row1-fixed,HT13-row1,e1a8fee4b5529a451d88a97c6936104ab8d32c19ab57f100b2291efdad10c4c8,text-to-image,fixed,128,2976,True,0.34408602150537637,85.34086889398168,84.43990996299544,177.43660303897923,2336,584,0,0,2392,
HT13-row1-gated,HT13-row1,b1e809cc15283edabe87f3ca3bc04243cdbc0f95ccf53fc132b3fe028314c03b,text-to-image,gated,128,2976,True,0.34408602150537637,85.44227328000125,86.20089233998442,179.2862287950411,2336,584,233,0,2159,
HT13-row1-arithmetic,HT13-row1,0f2c8be08ed2e7d2324125133f9b9dc501f009850934e97db9ecdc432782e9cb,text-to-image,arithmetic,128,2976,True,0.34408602150537637,85.4408467640169,85.74422799100284,178.69879682100145,2336,520,0,87,2369,
HI14-prompt1-fixed,HI14-prompt1,5b2ab72dbb5989b5237377f6ae98979aae9f21ef6955cd0547210516160183f0,image-to-text,fixed,256,616,True,3.324675324675325,39.187985929020215,38.9194548370142,110.7957967990078,2336,584,0,0,32,
HI14-prompt1-gated,HI14-prompt1,d5d383e9eecdfb4dcf4c7e1b792ad82323fe5e10d0f91074685de8721f481a67,image-to-text,gated,256,652,True,3.1411042944785277,56.92388261301676,56.64449430501554,146.7907926950429,2336,584,36,0,32,
HI14-prompt1-arithmetic,HI14-prompt1,b0e8d3fd85eb9d6b9ec2f28aa5298dce4d4a50b537ab5526a379fed9e3dcfc74,image-to-text,arithmetic,256,2048,False,0.0,458.69891099401866,446.15648962999694,936.8101096760074,1121,283,0,1765,0,capacity
HT14-row1-fixed,HT14-row1,6836d190ff5aa8572b74676dc2beaedd74dc4067596cdef205520da77e9a9781,text-to-image,fixed,127,2976,True,0.34139784946236557,85.34639038398745,85.92756295201252,178.8122875179688,2336,584,0,0,2392,
HT14-row1-gated,HT14-row1,ee3a83319c590b2ce59bffc6571b3064d8a2505211a9b89561502bc71d238fb9,text-to-image,gated,127,2976,True,0.34139784946236557,85.56538746302249,84.5799471079954,177.64550544999656,2336,584,71,0,2321,
HT14-row1-arithmetic,HT14-row1,29645ea112b0482d4b238d339a159bceb03b823b3a4e80841642f615186716fa,text-to-image,arithmetic,127,2976,True,0.34139784946236557,85.37848344698432,85.02463314999477,178.1455408160109,2336,478,0,66,2432,
HI15-prompt1-fixed,HI15-prompt1,1a9f382082fce4953762d90ac3692d440e51ff6dbd22457e9accaff72bdeb31d,image-to-text,fixed,256,616,True,3.324675324675325,48.11776287399698,47.90689260401996,128.29838844100595,2336,584,0,0,32,
HI15-prompt1-gated,HI15-prompt1,666df34a039df94902cfb6a1519a30e1fa089591dfa03732275dd3d26087be78,image-to-text,gated,256,679,True,3.01620029455081,62.3390117759991,61.64344741398236,156.25879197599716,2336,584,63,0,32,
HI15-prompt1-arithmetic,HI15-prompt1,78578b48e893046c6202c2cc40ba9270e14f30c3b4abb192eb61cb648692c694,image-to-text,arithmetic,256,2048,False,0.0,280.8258691119845,278.4589172100241,591.0553094089846,1429,398,0,1650,0,capacity
HT15-row1-fixed,HT15-row1,3b840d27567c82558e86b023040b07d14bb815100a347f40e1ee506dacd7f580,text-to-image,fixed,122,2976,True,0.3279569892473118,85.22299377500894,85.3574150929926,178.25078303998453,2336,584,0,0,2392,
HT15-row1-gated,HT15-row1,53ac728d8a8c0229ddab8784cf1b6b088133d7e338100317af758789f8f6f22a,text-to-image,gated,122,2976,True,0.3279569892473118,85.40641990501899,85.3528744050127,178.3870514400187,2336,584,98,0,2294,
HT15-row1-arithmetic,HT15-row1,461e31b83ec2f5135ffb879f4ffb89de910384eeee4ae4f63c656e17c7d1c77b,text-to-image,arithmetic,122,2976,True,0.3279569892473118,86.156171198003,85.6475498439977,179.45886262500426,2336,485,0,80,2411,
HI16-prompt1-fixed,HI16-prompt1,339221e67f6fea0d4273b6af90d91060ab7413cb1eaf0319435e7ebde98a6b73,image-to-text,fixed,256,616,True,3.324675324675325,41.626473206008086,41.387788246996934,115.07972756700474,2336,584,0,0,32,
HI16-prompt1-gated,HI16-prompt1,31bad92fe0142072f1c04295e608bf2bb0b831cc7d15835d4775d9402fb8dce2,image-to-text,gated,256,654,True,3.1314984709480123,59.41076513301232,59.80869998098933,152.59482052800013,2336,584,38,0,32,
HI16-prompt1-arithmetic,HI16-prompt1,ef454a3cce68b377309e780cb556bf902bae77e494918818e7ed377a35fc859a,image-to-text,arithmetic,256,2048,False,0.0,467.25113209700794,464.0434112829971,963.4632620670309,2216,538,0,1510,0,capacity
HT16-row1-fixed,HT16-row1,8a0f02109a44c34757ae3a56875f03cd998b9ae331fa677b8ebbc670ffa4b430,text-to-image,fixed,127,2976,True,0.34139784946236557,84.97021331699216,84.81930906799971,177.31975703701028,2336,584,0,0,2392,
HT16-row1-gated,HT16-row1,943055c9b3dcc25bb37605755e41d07139cf9bc1a83e1b632306392f75eba2b3,text-to-image,gated,127,2976,True,0.34139784946236557,85.33241782200639,86.60772338401875,179.5002206239733,2336,584,6,0,2386,
HT16-row1-arithmetic,HT16-row1,8c07e1f452d6ef387fa609e47c73a1dd54ae040a2a75b3d4d1c7eba6d603d260,text-to-image,arithmetic,127,2976,True,0.34139784946236557,84.58934867198695,87.39281818599557,179.60553054595948,2336,524,0,74,2378,
HI17-prompt1-fixed,HI17-prompt1,1b15c3679c01e03da1fc20a9b3d242b2603013ecf4148b9d5c9ac49048c7b11c,image-to-text,fixed,256,616,True,3.324675324675325,43.022982104012044,42.16991756900097,117.17085840099026,2336,584,0,0,32,
HI17-prompt1-gated,HI17-prompt1,43111f7c3a281996b31ac7acd08077748c01bb59f1462b401bd13145f4bd03af,image-to-text,gated,256,656,True,3.1219512195121952,58.48258125499706,58.03631034499267,148.59676669200417,2336,584,40,0,32,
HI17-prompt1-arithmetic,HI17-prompt1,9ae4a3e59228948e2fc6e911befcc691f446e3c30d66bd875a541c85500b7a99,image-to-text,arithmetic,256,2048,False,0.0,417.33330437200493,416.3681516799843,866.1725683710247,1296,374,0,1674,0,capacity
HT17-row1-fixed,HT17-row1,c64e6d581e2a0ea6b7c478f83ad79e0a149546cfabb49d23d7cdf8c5fc894a3d,text-to-image,fixed,124,2976,True,0.3333333333333333,85.34836917900247,85.74376177598606,178.94552976399427,2336,584,0,0,2392,
HT17-row1-gated,HT17-row1,0b22d595d6f131d4ab62750a8e76c89220119d9eb41080ba360a2752229b72f5,text-to-image,gated,124,2976,True,0.3333333333333333,86.06503296998562,86.22412944299867,179.84438474901253,2336,584,10,0,2382,
HT17-row1-arithmetic,HT17-row1,94e1f4ca90f071c19c8952f06478d2816c5371899016f2695b644906ba6b91cf,text-to-image,arithmetic,124,2976,True,0.3333333333333333,86.43070536101004,86.19332529100939,180.20274568299646,2336,536,0,127,2313,
HI18-prompt1-fixed,HI18-prompt1,0af78f83a2f15c543f1226409305b295f44f466176b3cfb7183fa38b89d4359b,image-to-text,fixed,256,616,True,3.324675324675325,51.61997414700454,51.44610438199015,135.875210986007,2336,584,0,0,32,
HI18-prompt1-gated,HI18-prompt1,32388dae671ee59565d37449bc2617228181c5cd46ec27baa42a0e01dc564dfc,image-to-text,gated,256,655,True,3.1267175572519084,62.540068873000564,61.93174145100056,157.26550201699138,2336,584,39,0,32,
HI18-prompt1-arithmetic,HI18-prompt1,fcc7b490c1dffdba614359fcf2a2ed4e744f86247ea40093e034dc9bca85441e,image-to-text,arithmetic,256,2048,False,0.0,358.00270141699,358.4391596609785,749.9683026869898,1013,245,0,1803,0,capacity
HT18-row1-fixed,HT18-row1,e154c8592bc6f92bb3f1728b6418b220f99ab7b04498aa0c4e0c989023a0eca8,text-to-image,fixed,117,2976,True,0.31451612903225806,86.49016416101949,86.78358253298211,180.78092106399708,2336,584,0,0,2392,
HT18-row1-gated,HT18-row1,c5d7f1dc6c704f27278ac9bd5dd9c15f1c48ec5dc8d3c8c79a2bc4eafd7765bf,text-to-image,gated,117,2976,True,0.31451612903225806,84.9271970440168,86.85529568401398,179.4474540129886,2336,584,19,0,2373,
HT18-row1-arithmetic,HT18-row1,63e3be28fd9a6833bdce380c48001e5b7644ae355a9a249c20e899875bb6b01d,text-to-image,arithmetic,117,2976,True,0.31451612903225806,86.93167479598196,86.16505614199559,180.80790343601257,2336,502,0,85,2389,
HI19-prompt1-fixed,HI19-prompt1,31ccb13fbcdf0243d49d8a9e4d93ccea7cad71a4e20693b7cae3594acacbcc77,image-to-text,fixed,256,616,True,3.324675324675325,55.273227597994264,55.17563601399888,143.57359652398736,2336,584,0,0,32,
