case,pair_id,work_id,direction,method,source_bytes,delivered_symbols,exact_complete,recovered_goodput,encode_seconds,decode_seconds,charged_pair_seconds,packet_bits_recovered,packet_positions,skipped_positions,zero_bit_positions,completion_symbols,failure_stage
HI1-prompt1-fixed,HI1-prompt1,ae6e65170306d591b899cedb399d17f13ef5fb94be1d45601a64eae5147049f9,image-to-text,fixed,256,616,True,3.324675324675325,42.25101917600841,41.90612815300119,115.98461704299552,2336,584,0,0,32,
HI1-prompt1-gated,HI1-prompt1,4fa82e155efd87cd9cff3d4c7223b8ef037b61b718b8b20f320d582100071627,image-to-text,gated,256,650,True,3.1507692307692308,53.085897732002195,52.892135422996944,138.23546306400385,2336,584,34,0,32,
HI1-prompt1-arithmetic,HI1-prompt1,ed0855a1da630215f6ee468615c878a6bf1017248c781daf56853936039d11a2,image-to-text,arithmetic,256,2048,False,0.0,411.3952911450033,408.7896773229877,852.1505850870017,1643,459,0,1589,0,capacity
HT1-row1-fixed,HT1-row1,faf83244196e24e27440c6beb644589b2fe3cad35bb1199c6a603110a93f49f2,text-to-image,fixed,63,2976,True,0.1693548387096774,83.75352185299562,85.5276912249974,176.6772368910024,2336,584,0,0,2392,
HT1-row1-gated,HT1-row1,98b8c543be4e84739e6292c2fa909a6e836e069c61a4b35ada53edc3db3fb40c,text-to-image,gated,63,2976,True,0.1693548387096774,85.03739295300329,84.22729330600123,176.74524489401665,2336,584,5,0,2387,
HT1-row1-arithmetic,HT1-row1,f0f0176bdcae18b9995013a7a336978ba0ceaa182cda6de4aad958965f55a7fa,text-to-image,arithmetic,63,2976,True,0.1693548387096774,84.55969097699563,85.44360890999087,177.7401295049931,2336,525,0,95,2356,
HI2-prompt1-fixed,HI2-prompt1,87f29ea7a8099c0ee8f2cef1b1d1a7140d6aaeb7d4be6969adfee64955f3417f,image-to-text,fixed,256,616,True,3.324675324675325,41.464375990995904,41.275607413001126,114.5824227839912,2336,584,0,0,32,
HI2-prompt1-gated,HI2-prompt1,f0e9b9c684b3d1dcf4f0a71906777d806061a20a1181b31616cfd4c2098b66a1,image-to-text,gated,256,643,True,3.1850699844479005,52.47546498000156,51.88978479000798,136.62659086700296,2336,584,27,0,32,
HI2-prompt1-arithmetic,HI2-prompt1,d5db2e2018b6f9857a9dd1039ffe9449903f8eb0455eed6c77797f4ddcf1ab56,image-to-text,arithmetic,256,2048,False,0.0,322.39051676199597,320.91030233299534,675.6374655050022,1519,444,0,1604,0,capacity
HT2-row1-fixed,HT2-row1,46417946d688e8b8609f2d50596f238be14aa8b6cf5937cee4c082694d963144,text-to-image,fixed,59,2976,True,0.1586021505376344,84.9018280349992,85.15200884200749,177.60143693900318,2336,584,0,0,2392,
