case,positions,bits_recovered,target_bits,eligible_surprisal_bits,quantized_minus_eligible_surprisal_bits,unchanged_interval_zero_bit_positions,longest_unchanged_interval_run,zero_extension_reached,termination_reached
HI1-prompt1-arithmetic,2048,1643,2336,1644.352426785732,-0.005126182712501759,0,0,False,False
HT1-row1-arithmetic,620,2365,2336,2369.8415620786077,-4.841562078605875,0,0,True,True
HI2-prompt1-arithmetic,2048,1519,2336,1519.321315850221,-0.001977218766569422,0,0,False,False
HT2-row1-arithmetic,588,2363,2336,2363.3904554025116,0.024582096767062467,0,0,True,True
HI3-prompt1-arithmetic,2048,1319,2336,1320.1316970058956,-0.006734506348038849,0,0,False,False
HT3-row1-arithmetic,659,2362,2336,2367.235731162169,-5.23573116217085,0,0,True,True
HI4-prompt1-arithmetic,2048,906,2336,908.3498050193888,-0.002118283868526305,0,0,False,False
HT4-row1-arithmetic,602,2365,2336,2370.098218880033,-5.098218880031709,0,0,True,True
HI5-prompt1-arithmetic,2048,2164,2336,2165.618856870268,-0.0034760015760184615,1,1,False,False
HT5-row1-arithmetic,502,2359,2336,2359.911063580709,0.0014735780396222253,0,0,True,True
HI6-prompt1-arithmetic,2048,1939,2336,1939.1542967741334,-0.003210455324051509,0,0,False,False
HT6-row1-arithmetic,637,2366,2336,2370.825726730208,-4.825726730209681,0,0,True,True
HI7-prompt1-arithmetic,2048,581,2336,581.6646200707489,-0.004601381720590325,0,0,False,False
HT7-row1-arithmetic,560,2367,2336,2366.9269545057477,0.07304549425316509,0,0,True,True
HI8-prompt1-arithmetic,2048,1812,2336,1812.591970096415,-0.014210886371301967,0,0,False,False
HT8-row1-arithmetic,560,2365,2336,2373.714722725668,-8.714722725668253,0,0,True,True
HI9-prompt1-arithmetic,2048,1795,2336,1804.34108588239,-0.002793534347347304,0,0,False,False
HT9-row1-arithmetic,597,2366,2336,2367.3563086796585,-1.3563086796571042,0,0,True,True
HI10-prompt1-arithmetic,2048,1508,2336,1510.6974255093314,-0.008852945614535201,0,0,False,False
HT10-row1-arithmetic,682,2365,2336,2365.212089200323,0.20294829895374278,0,0,True,True
HI11-prompt1-arithmetic,2048,1143,2336,1143.7738181812515,-0.009411988024567108,0,0,False,False
HT11-row1-arithmetic,562,2366,2336,2371.602210601874,-5.6022106018763225,0,0,True,True
HI12-prompt1-arithmetic,2048,1188,2336,1189.0088548855617,-0.008211252130195135,0,0,False,False
HT12-row1-arithmetic,615,2367,2336,2375.046567630904,-8.046567630905429,0,0,True,True
HI13-prompt1-arithmetic,2048,1292,2336,1293.3679043014324,-0.0022452202472322824,0,0,False,False
HT13-row1-arithmetic,607,2365,2336,2365.864265667059,-0.8642656670590441,0,0,True,True
HI14-prompt1-arithmetic,2048,1121,2336,1122.1903933319836,-0.007688416138989851,0,0,False,False
HT14-row1-arithmetic,544,2366,2336,2366.7020362449152,-0.7020362449152344,0,0,True,True
HI15-prompt1-arithmetic,2048,1429,2336,1430.5635329735533,-0.0036927459627804637,0,0,False,False
HT15-row1-arithmetic,565,2364,2336,2364.101483124344,-0.10148312434239415,0,0,True,True
HI16-prompt1-arithmetic,2048,2216,2336,2217.964828242554,-0.03305772939029339,3,1,False,False
HT16-row1-arithmetic,598,2367,2336,2371.4249719053473,-4.4249719053464105,0,0,True,True
HI17-prompt1-arithmetic,2048,1296,2336,1297.0716924238998,-0.004545520128431235,0,0,False,False
HT17-row1-arithmetic,663,2367,2336,2370.9624888386893,-3.9624888386906605,0,0,True,True
HI18-prompt1-arithmetic,2048,1013,2336,1016.8046514440144,-0.0075335815002972595,0,0,False,False
HT18-row1-arithmetic,587,2361,2336,2366.5112737464965,-5.511273746499228,0,0,True,True
HI19-prompt1-arithmetic,2048,1304,2336,1304.8236775184753,-0.009023961366210642,0,0,False,False
HT19-row1-arithmetic,686,2367,2336,2371.5974637756412,-4.5974637756417,1,1,True,True
HI20-prompt1-arithmetic,2048,1949,2336,1949.9905473141641,-0.009701753000854296,0,0,False,False
HT20-row1-arithmetic,523,2365,2336,2365.1220295949,-0.1220295948992316,0,0,True,True
