case,direction,position,useful_packet_prefix_bits,emitted_including_suffix_bits,eligible_surprisal_bits,eligible_entropy_bits,is_endpoint
HI2-prompt1-arithmetic,image-to-text,768,640,640,641.6626140702627,663.6448349560637,False
HI2-prompt1-arithmetic,image-to-text,896,676,676,676.9666620893214,692.6242100708124,False
HI2-prompt1-arithmetic,image-to-text,1024,744,744,747.0279466423297,763.8022105465412,False
HI2-prompt1-arithmetic,image-to-text,1152,822,822,823.6956712126082,825.6682174533366,False
HI2-prompt1-arithmetic,image-to-text,1280,1036,1036,1037.803742729399,1030.81215990355,False
HI2-prompt1-arithmetic,image-to-text,1408,1199,1199,1202.1394060397681,1181.7196180039841,False
HI2-prompt1-arithmetic,image-to-text,1536,1325,1325,1328.6941001773403,1293.431212483286,False
HI2-prompt1-arithmetic,image-to-text,1664,1415,1415,1415.4369216482369,1369.5209827576944,False
HI2-prompt1-arithmetic,image-to-text,1792,1468,1468,1468.9440590241431,1438.18776386396,False
HI2-prompt1-arithmetic,image-to-text,1920,1514,1514,1515.105297064989,1489.822662979256,False
HI2-prompt1-arithmetic,image-to-text,2048,1519,1519,1519.321315850221,1503.196082173325,True
HT2-row1-arithmetic,text-to-image,128,543,543,547.243156947586,554.4339038131668,False
HT2-row1-arithmetic,text-to-image,256,1027,1027,1031.9254021721022,1035.7409533261468,False
HT2-row1-arithmetic,text-to-image,384,1474,1474,1474.7349294880512,1480.5413840992674,False
HT2-row1-arithmetic,text-to-image,512,2052,2052,2052.6203485075375,2048.7461559509966,False
HT2-row1-arithmetic,text-to-image,588,2336,2363,2363.3904554025116,2348.723994515684,True
HI3-prompt1-arithmetic,image-to-text,128,105,105,106.74594326338031,108.0816328662558,False
HI3-prompt1-arithmetic,image-to-text,256,223,223,226.2963668010365,227.04436602602067,False
HI3-prompt1-arithmetic,image-to-text,384,337,337,338.73055241688286,360.470998531048,False
HI3-prompt1-arithmetic,image-to-text,512,545,545,547.3367208961176,553.4756645540324,False
HI3-prompt1-arithmetic,image-to-text,640,658,658,660.1544099448597,678.919501686182,False
HI3-prompt1-arithmetic,image-to-text,768,700,700,703.258922710614,722.1335264173276,False
HI3-prompt1-arithmetic,image-to-text,896,743,743,744.4723455899364,766.8952107169065,False
HI3-prompt1-arithmetic,image-to-text,1024,743,743,745.3788192329372,770.257088473373,False
HI3-prompt1-arithmetic,image-to-text,1152,788,788,788.9521320170877,800.7420695551767,False
HI3-prompt1-arithmetic,image-to-text,1280,873,873,873.7389154359436,875.8994338297701,False
HI3-prompt1-arithmetic,image-to-text,1408,997,997,1003.6346236820034,1005.6251638980939,False
HI3-prompt1-arithmetic,image-to-text,1536,1133,1133,1134.229651428521,1142.7924658418779,False
HI3-prompt1-arithmetic,image-to-text,1664,1199,1199,1204.2219182669944,1204.9055280468474,False
HI3-prompt1-arithmetic,image-to-text,1792,1259,1259,1260.3954635813625,1251.516079738772,False
HI3-prompt1-arithmetic,image-to-text,1920,1294,1294,1295.069526024365,1305.6976932621203,False
HI3-prompt1-arithmetic,image-to-text,2048,1319,1319,1320.1316970058956,1342.6348821687338,True
HT3-row1-arithmetic,text-to-image,128,497,497,498.18377188490285,502.88810858213577,False
HT3-row1-arithmetic,text-to-image,256,909,909,910.2637981801328,930.183574383195,False
HT3-row1-arithmetic,text-to-image,384,1389,1389,1389.9537978422472,1419.453788721816,False
HT3-row1-arithmetic,text-to-image,512,1867,1867,1868.1241698836159,1909.255836103539,False
HT3-row1-arithmetic,text-to-image,640,2301,2301,2301.9430649321466,2350.017834176363,False
HT3-row1-arithmetic,text-to-image,659,2336,2362,2367.235731162169,2413.4745442225258,True
HI4-prompt1-arithmetic,image-to-text,128,124,124,126.12719261354692,132.4122956653169,False
HI4-prompt1-arithmetic,image-to-text,256,304,304,304.3982939629872,302.4476770754462,False
HI4-prompt1-arithmetic,image-to-text,384,445,445,446.31890045596253,471.73473701418493,False
HI4-prompt1-arithmetic,image-to-text,512,630,630,631.0179040501287,653.2216835784217,False
HI4-prompt1-arithmetic,image-to-text,640,806,806,808.2714976892986,818.0508467388074,False
HI4-prompt1-arithmetic,image-to-text,768,880,880,881.5452934883565,909.0917290641067,False
HI4-prompt1-arithmetic,image-to-text,896,881,881,881.646110621288,909.9351846485308,False
HI4-prompt1-arithmetic,image-to-text,1024,883,883,884.1425573391447,917.3367431991546,False
HI4-prompt1-arithmetic,image-to-text,1152,883,883,884.256992450462,918.3575925714061,False
HI4-prompt1-arithmetic,image-to-text,1280,892,892,892.4924584780474,925.5010963057806,False
HI4-prompt1-arithmetic,image-to-text,1408,892,892,892.6935454542295,927.1075066390532,False
HI4-prompt1-arithmetic,image-to-text,1536,892,892,893.0069549092989,929.5845294067905,False
HI4-prompt1-arithmetic,image-to-text,1664,906,906,908.1988082332825,946.3003975119442,False
HI4-prompt1-arithmetic,image-to-text,1792,906,906,908.2628443014935,947.0153133445622,False
HI4-prompt1-arithmetic,image-to-text,1920,906,906,908.3083693391791,947.5560677569973,False
HI4-prompt1-arithmetic,image-to-text,2048,906,906,908.3498050193888,948.061724258749,True
HT4-row1-arithmetic,text-to-image,128,559,559,560.4538946486662,563.4985331671687,False
HT4-row1-arithmetic,text-to-image,256,1048,1048,1049.1644759078608,1053.3755017115914,False
HT4-row1-arithmetic,text-to-image,384,1458,1458,1458.519252169696,1471.1787003634756,False
HT4-row1-arithmetic,text-to-image,512,2007,2007,2007.5938094429014,2005.969565651638,False
HT4-row1-arithmetic,text-to-image,602,2336,2365,2370.098218880033,2358.350063301698,True
HI5-prompt1-arithmetic,image-to-text,128,119,119,120.0500328557465,118.29980443130846,False
HI5-prompt1-arithmetic,image-to-text,256,238,238,239.7061011721072,260.16352450430014,False
HI5-prompt1-arithmetic,image-to-text,384,344,344,348.86239344212703,380.0231614021497,False
HI5-prompt1-arithmetic,image-to-text,512,603,603,603.5502459906666,615.3872711428351,False
HI5-prompt1-arithmetic,image-to-text,640,772,772,773.9942457861281,790.6352411854252,False
HI5-prompt1-arithmetic,image-to-text,768,964,964,965.98402262623,959.7022276715596,False
HI5-prompt1-arithmetic,image-to-text,896,1108,1108,1110.1788609714765,1120.5746511880943,False
HI5-prompt1-arithmetic,image-to-text,1024,1254,1254,1254.8076273266279,1267.8882270085453,False
HI5-prompt1-arithmetic,image-to-text,1152,1340,1340,1340.7612639268768,1353.2177148549279,False
HI5-prompt1-arithmetic,image-to-text,1280,1499,1499,1499.5871094272532,1497.4121810785389,False
HI5-prompt1-arithmetic,image-to-text,1408,1623,1623,1625.7932639579024,1634.0054526113265,False
HI5-prompt1-arithmetic,image-to-text,1536,1748,1748,1749.4031620229428,1759.0713205049965,False
HI5-prompt1-arithmetic,image-to-text,1664,1891,1891,1892.691499822686,1889.1054959302014,False
HI5-prompt1-arithmetic,image-to-text,1792,1985,1985,1987.5566948168523,1988.5953128715587,False
HI5-prompt1-arithmetic,image-to-text,1920,2086,2086,2088.6636491546037,2080.8068795602453,False
HI5-prompt1-arithmetic,image-to-text,2048,2164,2164,2165.618856870268,2173.033641617784,True
HT5-row1-arithmetic,text-to-image,128,620,620,620.6876424638541,590.6140708821817,False
HT5-row1-arithmetic,text-to-image,256,1210,1210,1212.230817082486,1160.5541837759824,False
HT5-row1-arithmetic,text-to-image,384,1797,1797,1799.5577486448906,1726.8910925365778,False
HT5-row1-arithmetic,text-to-image,502,2336,2359,2359.911063580709,2278.28262475326,True
HI6-prompt1-arithmetic,image-to-text,128,118,118,120.22926254965355,127.23749945376495,False
HI6-prompt1-arithmetic,image-to-text,256,282,282,283.2491707901191,302.95573086057203,False
HI6-prompt1-arithmetic,image-to-text,384,439,439,443.4234594882137,444.7997786465989,False
HI6-prompt1-arithmetic,image-to-text,512,760,760,760.2264941121431,728.5382973917269,False
HI6-prompt1-arithmetic,image-to-text,640,863,863,864.0402165973828,841.5215226673083,False
HI6-prompt1-arithmetic,image-to-text,768,963,963,966.8502806910388,967.5563010524108,False
HI6-prompt1-arithmetic,image-to-text,896,1079,1079,1079.7007575815799,1070.8665520781033,False
HI6-prompt1-arithmetic,image-to-text,1024,1110,1110,1111.5165657256987,1091.1742272171812,False
HI6-prompt1-arithmetic,image-to-text,1152,1204,1204,1207.8280916324745,1185.6591066692135,False
HI6-prompt1-arithmetic,image-to-text,1280,1313,1313,1313.852172675182,1296.48697320047,False
HI6-prompt1-arithmetic,image-to-text,1408,1405,1405,1406.951579133029,1398.2299172994942,False
HI6-prompt1-arithmetic,image-to-text,1536,1509,1509,1510.209410961399,1511.043809025259,False
HI6-prompt1-arithmetic,image-to-text,1664,1621,1621,1623.4733630870876,1613.9741534610937,False
HI6-prompt1-arithmetic,image-to-text,1792,1718,1718,1719.316261824317,1718.839578328855,False
HI6-prompt1-arithmetic,image-to-text,1920,1842,1842,1842.6358297010113,1835.2276573736217,False
HI6-prompt1-arithmetic,image-to-text,2048,1939,1939,1939.1542967741334,1932.2133928212866,True
HT6-row1-arithmetic,text-to-image,128,542,542,545.0138456242828,550.6324008483873,False
HT6-row1-arithmetic,text-to-image,256,1024,1024,1028.8623892767514,1013.442506076485,False
HT6-row1-arithmetic,text-to-image,384,1477,1477,1480.4163548004599,1468.210045586587,False
HT6-row1-arithmetic,text-to-image,512,1938,1938,1940.6544880721533,1939.7296634126944,False
HT6-row1-arithmetic,text-to-image,637,2336,2366,2370.825726730208,2381.5857491554652,True
HI7-prompt1-arithmetic,image-to-text,128,109,109,109.74548219466095,109.11568302584655,False
HI7-prompt1-arithmetic,image-to-text,256,232,232,234.41255797887476,240.85765696725483,False
HI7-prompt1-arithmetic,image-to-text,384,395,395,395.6840849816156,403.2050058263541,False
HI7-prompt1-arithmetic,image-to-text,512,500,500,500.7409213891904,509.86456614535757,False
HI7-prompt1-arithmetic,image-to-text,640,548,548,549.163298039822,557.8532671862015,False
HI7-prompt1-arithmetic,image-to-text,768,548,548,549.1846939631865,558.040308626663,False
HI7-prompt1-arithmetic,image-to-text,896,548,548,549.2147968456669,558.3336089569447,False
HI7-prompt1-arithmetic,image-to-text,1024,548,548,549.3023667045867,558.9695910722689,False
HI7-prompt1-arithmetic,image-to-text,1152,551,551,552.431335987631,565.71973019106,False
HI7-prompt1-arithmetic,image-to-text,1280,551,551,552.463826485593,566.0407421778565,False
HI7-prompt1-arithmetic,image-to-text,1408,551,551,552.5106708307683,566.4957406886397,False
HI7-prompt1-arithmetic,image-to-text,1536,551,551,552.594835402754,567.2247199185044,False
HI7-prompt1-arithmetic,image-to-text,1664,555,555,557.3316112888396,574.8430095890631,False
HI7-prompt1-arithmetic,image-to-text,1792,555,555,559.6184957419631,578.7603351078898,False
HI7-prompt1-arithmetic,image-to-text,1920,581,581,581.591820916024,587.9697843806405,False
HI7-prompt1-arithmetic,image-to-text,2048,581,581,581.6646200707489,588.5944402776505,True
HT7-row1-arithmetic,text-to-image,128,599,599,601.5775687101705,573.2715301086618,False
HT7-row1-arithmetic,text-to-image,256,1100,1100,1100.5208411596216,1080.4129918213414,False
HT7-row1-arithmetic,text-to-image,384,1632,1632,1634.0137785935312,1624.664942969992,False
HT7-row1-arithmetic,text-to-image,512,2153,2153,2153.7685422043355,2155.020972933714,False
HT7-row1-arithmetic,text-to-image,560,2336,2367,2366.9269545057477,2356.997949304424,True
HI8-prompt1-arithmetic,image-to-text,128,136,136,138.39513114480567,121.46822117703022,False
HI8-prompt1-arithmetic,image-to-text,256,246,246,246.53733363573153,249.4268457352845,False
HI8-prompt1-arithmetic,image-to-text,384,383,383,389.21744007820496,389.3701707755874,False
HI8-prompt1-arithmetic,image-to-text,512,563,563,565.8492166732591,594.2032214407086,False
HI8-prompt1-arithmetic,image-to-text,640,792,792,793.27455443469,814.8897259940733,False
HI8-prompt1-arithmetic,image-to-text,768,927,927,927.4298947823958,935.3901489614509,False
HI8-prompt1-arithmetic,image-to-text,896,1108,1108,1109.2380725370429,1112.3916828678043,False
HI8-prompt1-arithmetic,image-to-text,1024,1198,1198,1198.3760268791539,1208.789269514136,False
HI8-prompt1-arithmetic,image-to-text,1152,1277,1277,1279.0561247819905,1290.6416169282907,False
HI8-prompt1-arithmetic,image-to-text,1280,1385,1385,1385.3591908583062,1379.9780364957894,False
HI8-prompt1-arithmetic,image-to-text,1408,1451,1451,1455.0057711480154,1465.035724020023,False
HI8-prompt1-arithmetic,image-to-text,1536,1590,1590,1593.7824132998865,1573.0351347516478,False
HI8-prompt1-arithmetic,image-to-text,1664,1666,1666,1667.4124389796714,1651.3143625372854,False
HI8-prompt1-arithmetic,image-to-text,1792,1708,1708,1709.537582361852,1712.9369046438178,False
HI8-prompt1-arithmetic,image-to-text,1920,1750,1750,1750.6171427433505,1775.1468406841573,False
HI8-prompt1-arithmetic,image-to-text,2048,1812,1812,1812.591970096415,1837.4571293988233,True
HT8-row1-arithmetic,text-to-image,128,578,578,579.5973610194267,570.958320158039,False
HT8-row1-arithmetic,text-to-image,256,1094,1094,1095.0986291230465,1091.9686460896414,False
HT8-row1-arithmetic,text-to-image,384,1596,1596,1597.4976689255968,1586.6794743122964,False
HT8-row1-arithmetic,text-to-image,512,2193,2193,2193.6696186549175,2174.06141839186,False
HT8-row1-arithmetic,text-to-image,560,2336,2365,2373.714722725668,2366.0532218497133,True
HI9-prompt1-arithmetic,image-to-text,128,78,78,79.57271485480338,92.88232111739289,False
HI9-prompt1-arithmetic,image-to-text,256,163,163,164.49026412337537,195.2243257351869,False
HI9-prompt1-arithmetic,image-to-text,384,284,284,287.4418610666547,315.3732061789605,False
HI9-prompt1-arithmetic,image-to-text,512,472,472,472.47999803128886,476.5747770415046,False
HI9-prompt1-arithmetic,image-to-text,640,564,564,566.0112033740435,582.8328627903259,False
HI9-prompt1-arithmetic,image-to-text,768,697,697,699.0955050548757,721.2359675549549,False
HI9-prompt1-arithmetic,image-to-text,896,810,810,811.944046716797,853.2860428000008,False
HI9-prompt1-arithmetic,image-to-text,1024,987,987,989.5846365013151,1025.2552192915152,False
HI9-prompt1-arithmetic,image-to-text,1152,1144,1144,1144.7424103707856,1160.018837727703,False
HI9-prompt1-arithmetic,image-to-text,1280,1243,1243,1245.5644111618196,1271.4269533128704,False
HI9-prompt1-arithmetic,image-to-text,1408,1336,1336,1337.4152843376448,1376.2999793918923,False
HI9-prompt1-arithmetic,image-to-text,1536,1447,1447,1448.264279316389,1493.8921742826396,False
HI9-prompt1-arithmetic,image-to-text,1664,1544,1544,1545.0544589165822,1585.648422115844,False
HI9-prompt1-arithmetic,image-to-text,1792,1634,1634,1634.4110417115248,1665.069672626095,False
HI9-prompt1-arithmetic,image-to-text,1920,1717,1717,1720.7684763620214,1746.8409000111405,False
HI9-prompt1-arithmetic,image-to-text,2048,1795,1795,1804.34108588239,1827.1512238218172,True
HT9-row1-arithmetic,text-to-image,128,573,573,574.4320592120741,566.9496910466455,False
HT9-row1-arithmetic,text-to-image,256,1071,1071,1071.3454780705276,1061.6681968455712,False
HT9-row1-arithmetic,text-to-image,384,1533,1533,1534.309020907152,1544.1975450989507,False
HT9-row1-arithmetic,text-to-image,512,2059,2059,2060.523175075361,2074.612877186367,False
HT9-row1-arithmetic,text-to-image,597,2336,2366,2367.3563086796585,2386.374227872005,True
HI10-prompt1-arithmetic,image-to-text,128,214,214,214.74707801389513,177.9208719802156,False
HI10-prompt1-arithmetic,image-to-text,256,417,417,422.7221648913748,393.8727249283606,False
HI10-prompt1-arithmetic,image-to-text,384,718,718,719.0623585323245,657.5693786610262,False
HI10-prompt1-arithmetic,image-to-text,512,976,976,977.9718298611576,922.493965907736,False
HI10-prompt1-arithmetic,image-to-text,640,1178,1178,1182.0928688548731,1107.4099898339828,False
HI10-prompt1-arithmetic,image-to-text,768,1368,1368,1368.8182039482017,1298.1812993635951,False
HI10-prompt1-arithmetic,image-to-text,896,1506,1506,1508.4938023785933,1422.579960592741,False
HI10-prompt1-arithmetic,image-to-text,1024,1508,1508,1509.6970686977238,1429.633172012389,False
HI10-prompt1-arithmetic,image-to-text,1152,1508,1508,1509.9665195649407,1431.6766134180125,False
HI10-prompt1-arithmetic,image-to-text,1280,1508,1508,1510.1279201869336,1433.0527743329242,False
HI10-prompt1-arithmetic,image-to-text,1408,1508,1508,1510.2598029440042,1434.2354213479034,False
HI10-prompt1-arithmetic,image-to-text,1536,1508,1508,1510.3584772684246,1435.1562196073144,False
HI10-prompt1-arithmetic,image-to-text,1664,1508,1508,1510.441280741023,1435.9563953587951,False
HI10-prompt1-arithmetic,image-to-text,1792,1508,1508,1510.5390669053554,1436.8870016419735,False
HI10-prompt1-arithmetic,image-to-text,1920,1508,1508,1510.6179300813499,1437.666004163357,False
HI10-prompt1-arithmetic,image-to-text,2048,1508,1508,1510.6974255093314,1438.461155433818,True
HT10-row1-arithmetic,text-to-image,128,483,483,483.9301229135536,504.61359918348745,False
HT10-row1-arithmetic,text-to-image,256,869,869,873.127734518397,913.4031441933481,False
HT10-row1-arithmetic,text-to-image,384,1279,1279,1279.6349569709962,1307.2384519970653,False
HT10-row1-arithmetic,text-to-image,512,1751,1751,1751.354751973864,1790.7307654380177,False
HT10-row1-arithmetic,text-to-image,640,2199,2199,2200.486099491625,2226.33972805523,False
HT10-row1-arithmetic,text-to-image,682,2336,2365,2365.212089200323,2367.4432813149883,True
HI11-prompt1-arithmetic,image-to-text,128,86,86,88.77879569937814,89.6024711201029,False
HI11-prompt1-arithmetic,image-to-text,256,189,189,190.23739477433097,202.90201555889394,False
HI11-prompt1-arithmetic,image-to-text,384,278,278,280.3565264167247,305.35130336451806,False
HI11-prompt1-arithmetic,image-to-text,512,448,448,448.9719480053551,476.3131443879434,False
HI11-prompt1-arithmetic,image-to-text,640,666,666,668.0936971989951,700.5092969127933,False
HI11-prompt1-arithmetic,image-to-text,768,801,801,801.6169301665611,841.5331165274399,False
HI11-prompt1-arithmetic,image-to-text,896,888,888,888.7360801988963,942.5128697499292,False
HI11-prompt1-arithmetic,image-to-text,1024,955,955,956.8356665233165,1023.5138887932521,False
HI11-prompt1-arithmetic,image-to-text,1152,1141,1141,1141.8898005448468,1197.3034107164822,False
HI11-prompt1-arithmetic,image-to-text,1280,1141,1141,1141.9695535746914,1197.9317336574727,False
HI11-prompt1-arithmetic,image-to-text,1408,1141,1141,1142.0562306591285,1198.6709353634105,False
HI11-prompt1-arithmetic,image-to-text,1536,1141,1141,1142.218666152957,1199.8755047061481,False
HI11-prompt1-arithmetic,image-to-text,1664,1141,1141,1143.4285540990545,1206.687323556882,False
HI11-prompt1-arithmetic,image-to-text,1792,1141,1141,1143.5088114648452,1207.5300671431542,False
HI11-prompt1-arithmetic,image-to-text,1920,1143,1143,1143.659080083341,1208.9542562574306,False
HI11-prompt1-arithmetic,image-to-text,2048,1143,1143,1143.7738181812515,1210.0718179815713,True
HT11-row1-arithmetic,text-to-image,128,592,592,593.0173017221529,575.5863809636511,False
HT11-row1-arithmetic,text-to-image,256,1136,1136,1137.03346886457,1115.1677129434242,False
HT11-row1-arithmetic,text-to-image,384,1650,1650,1653.6565559356725,1624.2041448951366,False
HT11-row1-arithmetic,text-to-image,512,2171,2171,2172.243077260905,2141.8636451117495,False
HT11-row1-arithmetic,text-to-image,562,2336,2366,2371.602210601874,2332.333322700443,True
HI12-prompt1-arithmetic,image-to-text,128,78,78,82.02753718357167,101.46763838310865,False
HI12-prompt1-arithmetic,image-to-text,256,220,220,223.12722577653955,233.52182281869995,False
HI12-prompt1-arithmetic,image-to-text,384,356,356,356.8976784546358,341.15479996601454,False
HI12-prompt1-arithmetic,image-to-text,512,465,465,465.73439776857526,449.38356033361833,False
HI12-prompt1-arithmetic,image-to-text,640,519,519,522.3056948833489,529.3292273654804,False
HI12-prompt1-arithmetic,image-to-text,768,629,629,630.0819676463933,619.1068854635733,False
HI12-prompt1-arithmetic,image-to-text,896,693,693,695.8710166635736,687.186460376156,False
HI12-prompt1-arithmetic,image-to-text,1024,804,804,805.1388582844713,774.7298386953528,False
HI12-prompt1-arithmetic,image-to-text,1152,884,884,886.1030127767966,858.9309903605756,False
HI12-prompt1-arithmetic,image-to-text,1280,932,932,933.4374384491326,908.7181848061724,False
HI12-prompt1-arithmetic,image-to-text,1408,1008,1008,1010.1071546185116,985.4160254779632,False
HI12-prompt1-arithmetic,image-to-text,1536,1036,1036,1040.9772718794968,1025.0416733429943,False
HI12-prompt1-arithmetic,image-to-text,1664,1036,1036,1041.200191155781,1026.2639036519026,False
HI12-prompt1-arithmetic,image-to-text,1792,1124,1124,1127.2606697888584,1083.7778375184776,False
HI12-prompt1-arithmetic,image-to-text,1920,1188,1188,1188.60879377506,1135.5345112676516,False
HI12-prompt1-arithmetic,image-to-text,2048,1188,1188,1189.0088548855617,1139.0026705018233,True
HT12-row1-arithmetic,text-to-image,128,518,518,519.029430820158,520.1741547564096,False
HT12-row1-arithmetic,text-to-image,256,999,999,1001.0542782539932,1004.4971695322538,False
HT12-row1-arithmetic,text-to-image,384,1479,1479,1480.4831573977306,1473.211729718066,False
HT12-row1-arithmetic,text-to-image,512,1952,1952,1954.9338141686776,1942.1247503892998,False
HT12-row1-arithmetic,text-to-image,615,2336,2367,2375.046567630904,2354.3898544099443,True
HI13-prompt1-arithmetic,image-to-text,128,114,114,115.46139126216708,95.53520591333849,False
HI13-prompt1-arithmetic,image-to-text,256,214,214,216.20408495093392,198.55701974940487,False
HI13-prompt1-arithmetic,image-to-text,384,328,328,331.79807367635243,299.12073066432987,False
HI13-prompt1-arithmetic,image-to-text,512,401,401,401.7854791689935,368.9498469304978,False
HI13-prompt1-arithmetic,image-to-text,640,571,571,573.6890172205203,547.0396961753588,False
HI13-prompt1-arithmetic,image-to-text,768,723,723,724.248908230588,685.8158171050111,False
HI13-prompt1-arithmetic,image-to-text,896,816,816,816.7150197920939,797.9179162582661,False
HI13-prompt1-arithmetic,image-to-text,1024,917,917,918.8456873629478,918.5913168864447,False
HI13-prompt1-arithmetic,image-to-text,1152,1007,1007,1008.3546587915272,1008.540525030943,False
HI13-prompt1-arithmetic,image-to-text,1280,1060,1060,1061.6348140982209,1068.689012724858,False
HI13-prompt1-arithmetic,image-to-text,1408,1067,1067,1070.1595161715509,1085.3845354867326,False
HI13-prompt1-arithmetic,image-to-text,1536,1144,1144,1146.6862839343291,1151.925539517928,False
HI13-prompt1-arithmetic,image-to-text,1664,1233,1233,1234.436175454703,1240.7241582461936,False
HI13-prompt1-arithmetic,image-to-text,1792,1281,1281,1282.6695242909395,1295.164612407956,False
HI13-prompt1-arithmetic,image-to-text,1920,1292,1292,1293.1247349346136,1307.5257033828518,False
HI13-prompt1-arithmetic,image-to-text,2048,1292,1292,1293.3679043014324,1309.1909930996226,True
HT13-row1-arithmetic,text-to-image,128,545,545,546.1566889565248,549.2957253049933,False
HT13-row1-arithmetic,text-to-image,256,1009,1009,1009.8242772236758,1015.8868951306704,False
HT13-row1-arithmetic,text-to-image,384,1461,1461,1462.2303752777434,1463.2305767577486,False
HT13-row1-arithmetic,text-to-image,512,2012,2012,2012.4325521267315,2030.0011309706856,False
HT13-row1-arithmetic,text-to-image,607,2336,2365,2365.864265667059,2389.123312010229,True
HI14-prompt1-arithmetic,image-to-text,128,155,155,157.27009227050578,129.97707537467082,False
HI14-prompt1-arithmetic,image-to-text,256,307,307,308.67753924264895,255.68789811708538,False
HI14-prompt1-arithmetic,image-to-text,384,425,425,430.9096438250347,400.511539986541,False
HI14-prompt1-arithmetic,image-to-text,512,646,646,647.1261272103887,609.8619233111385,False
HI14-prompt1-arithmetic,image-to-text,640,736,736,738.491716505597,720.21107235139,False
HI14-prompt1-arithmetic,image-to-text,768,803,803,804.513861410432,787.5015634960018,False
HI14-prompt1-arithmetic,image-to-text,896,807,807,808.1025951754184,798.782844242516,False
HI14-prompt1-arithmetic,image-to-text,1024,866,866,868.9735144834049,852.9818941596407,False
HI14-prompt1-arithmetic,image-to-text,1152,866,866,869.7279250452821,855.471929038393,False
HI14-prompt1-arithmetic,image-to-text,1280,866,866,869.7795284927053,855.9839534082752,False
HI14-prompt1-arithmetic,image-to-text,1408,866,866,869.811779184621,856.3438796000197,False
HI14-prompt1-arithmetic,image-to-text,1536,950,950,950.5530915650824,939.7103183308269,False
HI14-prompt1-arithmetic,image-to-text,1664,1077,1077,1081.7726514379199,1077.909510013039,False
HI14-prompt1-arithmetic,image-to-text,1792,1121,1121,1121.5279508317897,1133.018611007711,False
HI14-prompt1-arithmetic,image-to-text,1920,1121,1121,1122.1373448250076,1136.5791173920454,False
HI14-prompt1-arithmetic,image-to-text,2048,1121,1121,1122.1903933319836,1137.135248971211,True
HT14-row1-arithmetic,text-to-image,128,610,610,611.1425780460214,595.2052989857668,False
HT14-row1-arithmetic,text-to-image,256,1168,1168,1169.3584596362107,1125.707604138292,False
HT14-row1-arithmetic,text-to-image,384,1686,1686,1689.6202767646319,1662.6503089105963,False
HT14-row1-arithmetic,text-to-image,512,2238,2238,2238.93255994702,2224.202426221733,False
HT14-row1-arithmetic,text-to-image,544,2336,2366,2366.7020362449152,2352.534789812881,True
HI15-prompt1-arithmetic,image-to-text,128,82,82,86.66682189922496,97.99677878543913,False
HI15-prompt1-arithmetic,image-to-text,256,208,208,211.14891739837574,208.9690200453034,False
