case,direction,position,useful_packet_prefix_bits,emitted_including_suffix_bits,eligible_surprisal_bits,eligible_entropy_bits,is_endpoint
HI1-prompt1-arithmetic,image-to-text,128,156,156,156.66684479489606,127.17578361229101,False
HI1-prompt1-arithmetic,image-to-text,256,279,279,279.74001665063344,252.99273273816695,False
HI1-prompt1-arithmetic,image-to-text,384,474,474,475.79160039768436,442.4624723361423,False
HI1-prompt1-arithmetic,image-to-text,512,632,632,633.5435554391588,616.8789083448835,False
HI1-prompt1-arithmetic,image-to-text,640,806,806,807.8550056943518,805.1410851888736,False
HI1-prompt1-arithmetic,image-to-text,768,974,974,975.9336490852152,983.4383440545512,False
HI1-prompt1-arithmetic,image-to-text,896,1061,1061,1063.939553083289,1086.8513940341043,False
HI1-prompt1-arithmetic,image-to-text,1024,1179,1179,1179.7582054683674,1199.9520248131782,False
HI1-prompt1-arithmetic,image-to-text,1152,1275,1275,1275.6840480848919,1307.710155535441,False
HI1-prompt1-arithmetic,image-to-text,1280,1343,1343,1345.0158096089324,1368.402177635032,False
HI1-prompt1-arithmetic,image-to-text,1408,1405,1405,1406.098034697762,1426.6628834340504,False
HI1-prompt1-arithmetic,image-to-text,1536,1473,1473,1476.5744740859539,1491.6200325192024,False
HI1-prompt1-arithmetic,image-to-text,1664,1494,1494,1495.3282886570087,1518.9216958048141,False
HI1-prompt1-arithmetic,image-to-text,1792,1524,1524,1525.8054431042247,1552.0921994644518,False
HI1-prompt1-arithmetic,image-to-text,1920,1578,1578,1581.5423021010786,1601.0733832650783,False
HI1-prompt1-arithmetic,image-to-text,2048,1643,1643,1644.352426785732,1655.841162526869,True
HT1-row1-arithmetic,text-to-image,128,557,557,561.4853389814264,556.9056101469428,False
HT1-row1-arithmetic,text-to-image,256,1047,1047,1050.0931564355806,1052.9029075800788,False
HT1-row1-arithmetic,text-to-image,384,1498,1498,1498.6287511973335,1509.943942037102,False
HT1-row1-arithmetic,text-to-image,512,1968,1968,1968.3468108491313,1972.3938968068492,False
HT1-row1-arithmetic,text-to-image,620,2336,2365,2369.8415620786077,2397.0208000702064,True
HI2-prompt1-arithmetic,image-to-text,128,91,91,91.87595182459233,94.91203407102932,False
HI2-prompt1-arithmetic,image-to-text,256,216,216,216.64694344812472,219.76499813387014,False
HI2-prompt1-arithmetic,image-to-text,384,360,360,361.2432985411356,347.1992585898704,False
HI2-prompt1-arithmetic,image-to-text,512,426,426,426.5141811290396,430.53068981508136,False
HI2-prompt1-arithmetic,image-to-text,640,535,535,536.7274606323699,544.817515755489,False
