split,arm,attempted,expected,exact,mean_psnr_db,min_psnr_db,max_psnr_db,mean_ssim,min_ssim,max_ssim,mean_changed_pixel_fraction,min_changed_pixel_fraction,max_changed_pixel_fraction,mean_changed_channel_fraction,min_changed_channel_fraction,max_changed_channel_fraction,mean_png_bytes,min_png_bytes,max_png_bytes,mean_source_bytes,min_source_bytes,max_source_bytes,mean_sender_seconds,min_sender_seconds,max_sender_seconds,mean_receiver_seconds,min_receiver_seconds,max_receiver_seconds,mean_pair_seconds,min_pair_seconds,max_pair_seconds,mean_partition_disagreement,min_partition_disagreement,max_partition_disagreement,maximum_channel_change
development,model_rank,6,6,6,70.17909798306624,70.08384009716575,70.40355620849235,0.9999630643689525,0.9999357667110899,0.9999927046970521,0.018053690592447918,0.0171966552734375,0.018402099609375,0.006236606174045138,0.005925496419270833,0.0063629150390625,118461.33333333333,84404.0,158091.0,71.66666666666667,32.0,128.0,6.997547956493993,6.808055731991772,7.157348637003452,6.902846192155266,6.806993815000169,6.968069850991014,13.90039414864926,13.765867903013714,14.070381075958721,0.4489801833618721,0.4475197988013699,0.4501551797945205,2
development,parity,6,6,6,70.36550117792726,70.29677219417921,70.43723712126761,0.999964946700421,0.9999356588083247,0.9999931719876147,0.017934163411458332,0.01763916015625,0.018218994140625,0.005978054470486112,0.005879720052083333,0.006072998046875,118434.83333333333,84249.0,158086.0,71.66666666666667,32.0,128.0,0.8366602565123079,0.7936606600414962,0.8909040230209939,0.6959524514871495,0.6455424539744854,0.7444142960011959,1.5326127079994574,1.4946090299636126,1.5856777370208874,,,,1
heldout,model_rank,20,20,20,70.25479361473137,70.0907721733686,70.49395901793058,0.9999664122738856,0.9999404340435868,0.9999873776328451,0.017812347412109374,0.0168914794921875,0.0185394287109375,0.006132761637369792,0.005803426106770833,0.006368001302083333,116772.85,86455.0,141765.0,93.2,58.0,128.0,6.997581428001285,6.855540045013186,7.11031624203315,6.884327687550103,6.691339708981104,7.1549348720000125,13.88190911555139,13.713716644968372,14.095122091996018,0.44843549336472605,0.4465833690068493,0.4511584974315068,2
heldout,parity,20,20,20,70.39837448305693,70.30769784728494,70.60967487270405,0.9999687999476663,0.9999456155042923,0.9999881697391446,0.017800140380859374,0.0169525146484375,0.0181732177734375,0.005933380126953125,0.005650838216145833,0.0060577392578125,116762.5,86453.0,141775.0,93.2,58.0,128.0,0.8230670933582587,0.7277590380399488,0.9421990179689601,0.6855076080042636,0.6209965070011094,0.7903835349716246,1.5085747013625224,1.4131884450325742,1.6327595999464393,,,,1
