comparison,payload,method,repetition,mode,payload_bytes,encode_seconds,decode_seconds,charged_encode_seconds,charged_decode_seconds,charged_pair_seconds,exact_payload_bytes_per_second,cold_load_pair_seconds,execution_setup_pair_seconds,cuda_event_pair_seconds,phase_non_cuda_interval_seconds,other_occupied_seconds,cuda_event_encode_seconds,cuda_event_decode_seconds,peak_cuda_allocated_mib,peak_cuda_reserved_mib,carrier_bytes,pixels,channels,model_calls_per_process,exact_recovery,equivalent
T1-arithmetic-r0,T1,arithmetic,0,reference,32,88.04089551998186,87.28441299297265,91.82687378200353,91.02735865899012,182.85423244099366,0.17500278540353872,1.815231442975346,0.0,170.15390895080566,5.171399562148849,5.7136924850638025,85.36817494201661,84.78573400878906,484.478515625,516.0,2683,992,2976,992,True,True
T1-arithmetic-r0,T1,arithmetic,0,cuda_graph,32,13.313742345984792,13.007522611995228,17.830634243990062,17.28370634498424,35.1143405889743,0.911308583993396,1.7957521269854624,1.1789009149651974,21.269851875305175,5.051413082674845,5.818422589043621,10.639987714767456,10.62986416053772,473.8486328125,744.0,2683,992,2976,992,True,True
T1-fixed-r0,T1,fixed,0,reference,32,86.33346299297409,85.38814855201053,90.07937535099336,89.22480850000284,179.3041838509962,0.1784676704844342,1.8787119130138308,0.0,166.9394266357422,4.782184909242432,5.70386039299774,83.8718164138794,83.0676102218628,484.478515625,516.0,2309,992,2976,992,True,True
T1-fixed-r0,T1,fixed,0,cuda_graph,32,12.931695876002777,12.777075038000476,17.42888835800113,17.23098286500317,34.6598712230043,0.9232579023190686,1.913696711009834,1.1960653620189987,21.17909853076935,4.529672383233905,5.841338235972216,10.588830118179322,10.590268412590026,473.8486328125,744.0,2309,992,2976,992,True,True
T1-fixed-r1,T1,fixed,1,cuda_graph,32,12.968052919983165,12.842101177026052,17.430089490982937,17.283013123000273,34.71310261398321,0.9218421169621897,1.9381285549898166,1.1668851819995325,21.286569977760315,4.523584119248902,5.797934779984644,10.640038925170899,10.646531052589417,473.8486328125,744.0,2309,992,2976,992,True,True
T1-fixed-r1,T1,fixed,1,reference,32,84.6943609000009,84.91989084501984,88.52270612199209,88.67631981498562,177.1990259369777,0.18058790013541645,1.8543068899889477,0.0,164.87277593231204,4.7414758127087,5.7304673019680195,82.27790523529053,82.59487069702149,484.478515625,516.0,2309,992,2976,992,True,True
T1-fixed-r2,T1,fixed,2,reference,32,84.5391282189812,86.12305842799833,88.30748674602364,89.92516671400517,178.2326534600288,0.17954061379205383,1.8788190649647731,0.0,165.93282498931885,4.729361657660689,5.691647748084506,82.15714106750488,83.77568392181396,484.478515625,516.0,2309,992,2976,992,True,True
T1-fixed-r2,T1,fixed,2,cuda_graph,32,12.90177582600154,12.914202391024446,17.280171441001585,17.327734402002534,34.60790584300412,0.9246442169938087,1.845066637994023,1.1963990720105357,21.24651210975647,4.569466107269516,5.750461915973574,10.618287014961243,10.628225094795226,473.8486328125,744.0,2309,992,2976,992,True,True
T1-gated-r0,T1,gated,0,cuda_graph,32,12.947932930022944,12.889184110012138,17.381059247010853,17.22948802501196,34.610547272022814,0.9245736494281606,1.9080534660024568,1.1895288550003897,21.253199962615966,4.583917077419116,5.675847910984885,10.619468159675598,10.63373180294037,473.8486328125,744.0,2322,992,2976,992,True,True
T1-gated-r0,T1,gated,0,reference,32,86.37447360900114,86.33903568299138,90.17440518701915,90.07433107000543,180.24873625702458,0.17753245134750792,1.9239116509852465,0.0,167.8196396560669,4.8938696359256255,5.611315314046806,83.89035213470459,83.9292875213623,484.478515625,516.0,2322,992,2976,992,True,True
