comparison,payload,method,repetition,mode,payload_bytes,encode_seconds,decode_seconds,charged_encode_seconds,charged_decode_seconds,charged_pair_seconds,exact_payload_bytes_per_second,cold_load_pair_seconds,execution_setup_pair_seconds,cuda_event_pair_seconds,phase_non_cuda_interval_seconds,other_occupied_seconds,cuda_event_encode_seconds,cuda_event_decode_seconds,peak_cuda_allocated_mib,peak_cuda_reserved_mib,carrier_bytes,pixels,channels,model_calls_per_process,exact_recovery,equivalent
T4-fixed-r0,T4,fixed,0,cuda_graph,96,12.957811800995842,13.046117261983454,17.429610563995084,17.381258406996494,34.81086897099158,2.757759367627342,1.829835976997856,1.1566389389918186,21.301442373275755,4.702486689703541,5.8204649920226075,10.635937489509583,10.665504883766173,473.8486328125,744.0,2371,992,2976,992,True,True
T4-fixed-r0,T4,fixed,0,reference,96,85.5641630969767,86.43084254302084,89.37508563499432,90.27627922198735,179.65136485698167,0.5343683309972316,1.8794931560114492,0.0,167.14088146972657,4.854124170270978,5.776866060972679,83.05531805419922,84.08556341552735,484.478515625,516.0,2371,992,2976,992,True,True
T4-fixed-r1,T4,fixed,1,reference,96,86.07694922899827,84.99726170802023,89.93111016397597,88.72253355401335,178.65364371798933,0.5373526002723973,1.842018127994379,0.0,166.35310329437254,4.721107642645961,5.73741465297644,83.64681911468506,82.7062841796875,484.478515625,516.0,2371,992,2976,992,True,True
T4-fixed-r1,T4,fixed,1,cuda_graph,96,12.897022646007827,12.838486235006712,17.21539485300309,17.17434698800207,34.38974184100516,2.7915301151092926,1.9015363959770184,1.1354414339875802,21.22785818195343,4.507650699061109,5.617255130026024,10.606016995429993,10.621841186523438,473.8486328125,744.0,2371,992,2976,992,True,True
T4-fixed-r2,T4,fixed,2,cuda_graph,96,12.926142928015906,12.936253861000296,17.3762660100183,17.310980571986875,34.68724658200517,2.767587786855422,1.9455585539981257,1.1797755910083652,21.26640022087097,4.595996568145232,5.69951564798248,10.62961152267456,10.636788698196412,473.8486328125,744.0,2371,992,2976,992,True,True
T4-fixed-r2,T4,fixed,2,reference,96,84.2100959859963,84.53245257301023,88.06683269501082,88.2710203960014,176.33785309101222,0.5444094862063001,1.8218687599874102,0.0,164.04337127685545,4.6991772821510835,5.773435772018274,81.8309923095703,82.21237896728516,484.478515625,516.0,2371,992,2976,992,True,True
T5-fixed-r0,T5,fixed,0,reference,128,86.0025658919767,84.41689105599653,89.8782930749876,88.11950187501498,177.99779495000257,0.7191100318740109,1.851877623994369,0.0,165.6433371887207,4.776119759252538,5.726460378034972,83.53315872955322,82.11017845916749,484.478515625,516.0,2312,992,2976,992,True,True
T5-fixed-r0,T5,fixed,0,cuda_graph,128,12.947265939001227,12.865074182976969,17.280495434009936,17.330116743018152,34.61061217702809,3.698287662330247,1.8260641449596733,1.1607592870132066,21.226582088470458,4.585758033507737,5.811448623077013,10.601630734443665,10.624951354026795,473.8486328125,744.0,2312,992,2976,992,True,True
T5-fixed-r1,T5,fixed,1,cuda_graph,128,13.02149555599317,12.850861173006706,17.429142804001458,17.156224653997924,34.58536745799938,3.7009871343840355,1.84413217601832,1.201909422990866,21.27386193561554,4.5984947933843365,5.666969129990321,10.62913412952423,10.644727806091309,473.8486328125,744.0,2312,992,2976,992,True,True
T5-fixed-r1,T5,fixed,1,reference,128,83.7200093200081,84.13566161002382,87.62026347400388,88.02406651200727,175.64432998601114,0.7287454141570885,1.945059054007288,0.0,163.1561082763672,4.699562653664714,5.843600001971936,81.30359400939942,81.85251426696777,484.478515625,516.0,2312,992,2976,992,True,True
T5-fixed-r2,T5,fixed,2,reference,128,84.76038939799764,84.811860738002,88.77875004999805,88.56805963700754,177.3468096870056,0.7217496622910985,1.934194377012318,0.0,164.79866914367676,4.773580992322877,5.840365173993632,82.30763806915283,82.49103107452393,484.478515625,516.0,2312,992,2976,992,True,True
T5-fixed-r2,T5,fixed,2,cuda_graph,128,12.985258786997292,12.855008465005085,17.380346160003683,17.330530500999885,34.71087666100357,3.6876049328884695,1.915645853994647,1.169295121973846,21.24685025215149,4.593416999850888,5.785668433032697,10.617215161323548,10.629635090827941,473.8486328125,744.0,2312,992,2976,992,True,True
